ID,Departamento,LOCALIDAD,TIPO,Latitude,Longitude,web,Pop 2008,01/09,02/09,03/09,04/09,05/09,06/09,07/09,08/09,09/09,10/09,11/09,12/09,01/10,02/10,03/10,04/10,05/10,06/10,07/10,08/10,09/10,10/10,11/10,12/10,01/11,02/11,03/11,04/11,05/11,06/11,07/11,08/11,09/11,10/11,11/11,12/11,01/12,02/12,03/12,04/12,05/12,06/12,07/12,08/12,09/12,10/12,11/12,12/12,01/13,02/13,03/13,04/13,05/13,06/13,07/13,08/13,09/13,10/13,11/13,12/13,01/14,02/14,03/14,04/14
206,RIO CUARTO,BERROTARAN ,Municipio,-32.450531005859,-64.388290405273,,6748,231511,271653,245772,259381,279321,296344,285739,276761,278522,296137,284897,306969,303298,336637,320152,324677,389286,407483,383342,370911,390561,372988,396601,345239,446600,442590,423051,425225,524409,526264,502785,512982,522726,503703,561510,543529,609390,526808,518342,495281,647717,642334,598911,640499,622374,"672663,6","688191,4","670773,4",741895,799678,705030,737568,874484,889383,"865839,5","881159,3",853912,"885625,07","920714,6","897406,64","1057516,93","1125487,6","946787,71",1016900
207,PUNILLA,BIALET MASSE ,Municipio,-31.313899993896,-64.461593627930,http://www.bialetmasse.gov.ar/,5515,194489,228212,206469,217902,234653,248955,240045,232502,233982,248780,239338,257880,254796,282804,268955,272756,327033,342320,322040,311597,328104,313342,333179,290031,375182,371813,377902,364517,449541,451132,431005,439745,448098,431791,481345,465932,522389,451598,444341,424571,555245,550631,513406,549057,533520,"576629,8","589940,8","575011,4",635978,685510,604377,632268,749637,762410,"742226,7","755359,3",732002,"759187,51","789267,44","769288,08","906538,98","964805,73","811618,19",871721
208,SANTA MARIA,BOWER ,Municipio desde Enero de 2011,-31.557840347290,-64.195167541504,,2046,49651,58261,52710,55629,59905,63556,61282,59356,59734,63512,61101,65835,65047,72198,68662,69633,83489,87392,82214,79548,83763,79994,85058,74043,95781,94921,501830,224411,276756,277735,265344,270725,275867,265828,296336,286846,321604,278022,273554,261383,341831,338990,316074,338022,328456,"354996,8","363191,6","353999,2",391534,422028,372078,389250,461507,469370,456945,465030,"450650,3","467386,79","485905,22","473604,49","558102,36","593973,74","499665,25",536667
209,SAN JUSTO,BRINCKMAN ,Municipio,-30.866859436035,-62.036361694336,http://www.brinkmann.gov.ar,10106,315876,370646,335333,353902,381108,404335,389864,377614,380018,404052,388716,418831,413822,459310,436818,442992,531145,555973,523035,506074,532885,508908,541126,471048,609345,603873,593735,585533,722110,724665,692334,706375,719792,693599,773198,748438,839129,725414,713756,682000,891905,884494,824699,881966,857007,"926256,4","947638,1","923654,5",1021588,1101154,970825,1015630,1204162,1224678,"1192259,2","1213354,5","1175834,9","1219503,81","1267822,02","1235727,02","1456198,54","1549794,01","1303724,65",1400269
210,GENERAL ROCA,BUCHARDO ,Municipio,-34.724258422852,-63.507320404053,,1944,119756,140520,127132,134172,144487,153292,147806,143162,144073,153185,147371,158788,156889,174135,165607,167948,201369,210782,198294,191864,202028,192938,205153,178586,231016,228942,224607,221830,273572,274540,262291,267611,272694,262770,292926,283546,317904,274823,270407,258376,337899,335092,312438,334133,324678,"350912,8","359013,3","349927,7",387029,417173,367798,384772,456198,463970,"451688,1","459680,1","445465,8","462009,77","480315,15","468155,94","551681,71","587140,41","493916,88",530493
211,RIO CUARTO,BULNES ,Municipio,-33.505329132080,-64.677711486816,http://www.bulnes.gov.ar,1085,98226,115257,104276,110050,118510,125733,121233,117424,118172,125645,120876,130241,128683,142829,135834,137754,165167,172887,162645,157370,165707,158252,168270,146478,189484,187782,181465,181054,223285,224075,214078,218419,222568,214469,239082,231426,259468,224306,220702,210882,275787,273495,255006,272714,264996,"286409,1","293020,6","285604,3",315887,340490,300190,314044,372341,378685,"368660,2","375183,2","363581,7","377084,6","392025,14",382101,"450273,33","479214,12","403126,65",432979
212,PUNILLA,CABALANGO ,Comuna,-31.393789291382,-64.560470581055,,211,18544,21759,19686,20776,22373,23737,22887,22168,22309,23720,22820,24588,24294,26964,25644,26006,31181,32639,30705,29709,31283,29876,31767,27653,35772,35451,18905,26812,33066,33184,"31702,79","32345,72","32960,11","31760,67","35405,6","34271,82",38425,33217,32684,31230,40841,40503,37764,40386,39243,"42414,3","43393,4","42296,1","46779,7","50423,1","44455,2",46507,55140,56079,"54594,91","55560,89","53842,82","55842,47","58055,02","56585,35",66681,"70966,84","59699,04",64120
213,RIO SEGUNDO,CALCHIN ,Municipio,-31.667619705200,-63.199710845947,,2227,123990,145489,131628,138916,149596,158713,153033,148224,149168,158602,152582,164403,162437,180292,171463,173887,208490,218235,205306,198648,209172,199761,212407,184899,239185,237037,235106,230502,284267,285273,272546,278073,283355,273043,304378,294631,330333,285568,280979,268478,351109,348191,324653,347197,337371,"364631,9","373049,1","363607,2",402160,433483,382177,399815,474033,482109,"469347,1","477651,5","462881,5","480072,28","499093,32","486458,74","573249,99","610094,97","513226,81",551232
214,RIO SEGUNDO,CALCHIN OESTE ,Municipio,-31.862390518188,-63.277130126953,http://www.calchinoeste.com.ar,821,91947,107890,97611,103016,110935,117696,113484,109918,110618,117614,113150,121916,120457,133699,127151,128948,154609,161836,152248,147311,155115,148136,157514,137115,177371,175779,170691,169748,209342,210083,200710,204780,208670,201076,224153,216975,243266,210300,206920,197714,258566,256417,239083,255685,248449,"268524,8","274723,4","267770,2",296162,319228,281445,294434,349091,355038,"345639,8","351755,4","340878,4","353538,15","367545,76","358241,31","422156,73","449290,36","377954,04",405942
215,CALAMUCHITA,CALMAYO ,Comuna,-32.027431488037,-64.464248657227,,117,12261,14387,13016,13737,14793,15695,15133,14657,14751,15684,15088,16257,16063,17829,16955,17195,20617,21581,20302,19644,20684,19754,21004,18284,23652,23440,24541,23212,28627,28728,"27446,36","28002,97","28534,87","27496,47","30652,03","29670,47",33266,28758,28296,27037,35358,35064,32694,34964,33975,"36719,8","37567,4","36616,6",40499,"43653,3","38486,6",40263,47737,48550,"47264,97","48101,26","46613,86","48345,04","50260,53","48988,18","57728,37","61438,8","51683,82",55511
216,MARCOS JUAREZ,CAMILO ALDAO ,Municipio,-33.128349304199,-62.094718933105,http://www.camiloaldao.gov.ar/,5179,194727,228491,206722,218168,234940,249259,240338,232787,234268,249085,239630,258195,255107,283149,269283,273089,327433,342739,322434,311978,328505,313725,333586,290385,375640,372267,358433,358504,442125,443690,423895,432491,440706,424669,473405,458245,513772,444148,437011,417568,546086,541547,504937,540000,524719,"567117,9","580209,2","565524,2",625487,674202,594406,621839,737271,749832,"729983,1","742899,1",719927,"746664,13","776247,86","756597,09","891584,92","948890,51","798229,92",857341
217,SOBREMONTE,CAMINIAGA ,Comuna,-30.069089889526,-64.053039550781,,308,17311,20313,18378,19395,20886,22159,21366,20695,20827,22144,21303,22954,22679,25172,23939,24278,29109,30470,28664,27735,29204,27890,29656,25815,33395,33095,34665,32779,40424,40567,"38757,31","39543,31","40294,41","38828,08","43284,08","41898,01",46975,40609,39957,38179,49929,49514,46167,49373,47976,"51852,4","53049,4","51706,7","57189,1","61643,3","54347,4",56856,67410,68558,"66743,41","67924,34","65823,97","68268,58","70973,46","69176,76","81518,9","86758,43","72983,31",78388
218,TOTORAL,CANALS ,Municipio,-33.563560485840,-62.886081695557,http://www.municipalidadcanals.gov.ar/,8979,285575,335091,303166,319953,344550,365548,352466,341391,343564,365293,351428,378654,374125,415250,394915,400497,480194,502640,472862,457528,481767,460090,489218,425863,550892,545945,540882,530695,654480,656795,627493,640219,652379,226690,252705,244613,760539,657473,646908,618127,808373,801655,747461,799364,776743,"839506,6","858885,8","837149,5",925910,998024,879901,920510,1091385,1109979,"1080596,6","1099716,2","1065710,6","1105289,58","1149082,49","1119994,38","1319816,35","1404646,01","1181622,6",1269125
