COMUNAS 	2011 JUL	2011 AGO	2011 SEP	
PAMPAYASTA NORTE 	26309,31	26842,87	27352,73	PAMPAYASTA NORTE 
PANAHOLMA 	52875,27	53947,58	54972,28	PANAHOLMA 
PASO DEL DURAZNO 	29838,87	30444,01	31022,27	PASO DEL DURAZNO 
PASO VIEJO 	82482,46	84155,2	85753,68	PASO VIEJO 
PINCEN 	38898,66	39687,52	40441,36	PINCEN 
PLAZA DE MERCEDES 	26516,33	27054,08	27567,96	PLAZA DE MERCEDES 
PLAZA LUXARDO 	32751,68	33415,88	34050,6	PLAZA LUXARDO 
POTRERO DE GARAY 	69358,89	70765,48	72109,63	POTRERO DE GARAY 
POZO NUEVO 	55299,02	56420,48	57492,15	POZO NUEVO 
PUESTO DE CASTRO 	28320,92	28895,27	29444,12	PUESTO DE CASTRO 
PUNTA DEL AGUA 	29837,56	30442,67	31020,91	PUNTA DEL AGUA 
RAFAEL GARCIA 	47935,31	48907,44	49836,41	RAFAEL GARCIA 
RANQUELES 	25348,2	25862,27	26353,5	RANQUELES 
RAYO CORTADO 	60603,25	61832,28	63006,75	RAYO CORTADO 
RINCON 	51203,85	52242,27	53234,58	RINCON 
RIO BAMBA 	28425,41	29001,88	29552,76	RIO BAMBA 
ROSARIO DEL SALADILLO 	39635,6	40439,41	41207,53	ROSARIO DEL SALADILLO 
SAGRADA FAMILIA 	25869,37	26394	26895,34	SAGRADA FAMILIA 
SALADILLO 	30846,03	31471,58	32069,37	SALADILLO 
SAN CLEMENTE 	29957,53	30565,06	31145,63	SAN CLEMENTE 
SAN GERONIMO 	49894,23	50906,09	51873,02	SAN GERONIMO 
SAN IGNACIO 	36357,57	37094,9	37799,5	SAN IGNACIO 
SAN JOAQUIN 	28527,87	29106,41	29659,27	SAN JOAQUIN 
SAN LORENZO 	73680,55	75174,79	76602,7	SAN LORENZO 
SAN ROQUE 	69325,23	70731,11	72073,6	SAN ROQUE 
SAN VICENTE 	108726,46	110931,43	113038,51	SAN VICENTE 
SANTA ELENA 	38705,43	39490,38	40240,47	SANTA ELENA 
SAUCE ARRIBA 	63681,92	64973,38	66207,52	SAUCE ARRIBA 
SEGUNDA USINA 	27446,36	28002,97	28534,87	SEGUNDA USINA 
SIMBOLAR 	41838,54	42687,02	43497,84	SIMBOLAR 
SUCO 	36819,55	37566,25	38279,8	SUCO 
TALA CAÑADA 	47858,69	48829,26	49756,75	TALA CAÑADA 
TALA HUASI 	28153,6	28724,55	29270,16	TALA HUASI 
TALAINI 	33942,5	34630,86	35288,65	TALAINI 
TINOCO 	44209,6	45106,17	45962,94	TINOCO 
TORO PUJIO 	38369,83	39147,97	39891,57	TORO PUJIO 
TOSNO 	37044,96	37796,23	38514,15	TOSNO 
TUCLAME 	59587,31	60796,72	61949,49	TUCLAME 
VALLE DE ANISACATE 	39845,32	40653,38	41425,57	VALLE DE ANISACATE 
VILLA AMANCAY 	45170,93	46086,99	46962,39	VILLA AMANCAY 
VILLA C.PAR. LOS REARTES 	62846,47	64120,99	65338,93	VILLA C.PAR. LOS REARTES 
VILLA CANDELARIA NORTE 	55241,66	56361,96	57432,52	VILLA CANDELARIA NORTE 
VILLA CERRO AZUL 	32188,7	32841,49	33465,3	VILLA CERRO AZUL 
VILLA CIUDAD DE AMERICA 	61119,08	62358,58	63543,04	VILLA CIUDAD DE AMERICA 
VILLA DE POCHO 	42989,23	43861,05	44694,16	VILLA DE POCHO 
VILLA DEL PRADO 	89334,19	91145,89	92877,15	VILLA DEL PRADO 
VILLA EL CHACAY 	30563,77	31183,61	31775,92	VILLA EL CHACAY 
VILLA ELISA 	22993,7	23460,02	23905,63	VILLA ELISA 
VILLA GUTIERREZ 	38921,21	39710,53	40464,81	VILLA GUTIERREZ 
VILLA LA BOLSA 	63466,14	64753,23	65983,18	VILLA LA BOLSA 
VILLA LOS AROMOS 	62167,76	63428,52	64633,31	VILLA LOS AROMOS 
VILLA LOS PATOS 	22518,44	22975,11	23411,51	VILLA LOS PATOS 
VILLA PARQUE SIQUIMAN 	83378,98	85069,91	86685,76	VILLA PARQUE SIQUIMAN 
VILLA QUILLINZO 	26320,26	26854,03	27364,11	VILLA QUILLINZO 
VILLA SAN ESTEBAN 	25311,35	25824,67	26315,19	VILLA SAN ESTEBAN 
VILLA SAN ISIDRO 	76799,65	78357,15	79845,49	VILLA SAN ISIDRO 
VILLA SARMIENTO 	42529,14	43391,63	44215,83	VILLA SARMIENTO 
WASHINGTON 	48646,93	49633,49	50576,25	WASHINGTON 
