DEPARTAMENTO MUNICIPIOS ,"","","",1° ,01 - ENERO2° ,"",TOTAL ENERO,1° ,02 - FEBRERO2° ,"",TOTAL FEBRERO,"",1° ,03- MARZO2° ,"",TOTAL MARZO ,TOTAL GENERA
Total CAPITAL ,"",3 8.184.262 ,"","",56.316.800 ,"",94.501.062 ,41.882.670 ,59.978.575 ,"",101.861.244 ,3 7.806.928 ,"",51.998.358 ,"",89.805.286 ,286.167.592 
COLON,"","","","","","","","","","","","","","","","",""
AGUA DE ORO ,"","","",155.666 ,229.587 ,"",385.252 ,170.743 ,244.515 ,"",415.258 ,"",154.127 ,211.982 ,"",366.109 ,1.166.619 
COLONIA CAROYA ,"","","",6 76.830 ,998.236 ,"",1.675.066 ,742.386 ,1.063.142 ,"",1.805.528 ,"",670.142 ,921.690 ,"",1.591.832 ,5.072.426 
COLONIA TIROLESA ,"","","",253.263 ,373.530 ,"",626.793 ,277.793 ,397.817 ,"",675.610 ,"",250.760 ,344.887 ,"",595.647 ,1.898.050 
ESTACION GENERAL PAZ ,"","","",158.301 ,233.473 ,"",391.774 ,173.633 ,248.653 ,"",422.287 ,"",156.736 ,215.570 ,"",372.306 ,1.186.366 
ESTACION JUAREZ CELMAN ,"","","",4 45.376 ,656.872 ,"",1.102.248 ,4 88.514 ,699.582 ,"",1.188.096 ,"",4 40.975 ,606.502 ,"",1.047.477 ,3.337.821 
JESUS MARIA ,"","","",1.001.114 ,1.476.513 ,"",2.477.627 ,1.098.079 ,1.572.517 ,"",2.670.597 ,"",9 91.221 ,1.363.293 ,"",2.354.515 ,7.502.739 
LA CALERA ,"","","",9 99.308 ,1.473.849 ,"",2.473.158 ,1.096.098 ,1.569.680 ,"",2.665.779 ,"",989.433 ,1.360.833 ,"",2.350.266 ,7.489.202 
LA GRANJA ,"","","",1 80.828 ,266.697 ,"",447.525 ,198.342 ,284.038 ,"",482.380 ,"",179.041 ,246.247 ,"",425.287 ,1.355.192 
MALVINAS ARGENTINAS ,"","","",4 66.689 ,688.305 ,"",1.154.995 ,511.891 ,733.060 ,"",1.244.951 ,"",462.077 ,635.525 ,"",1.097.603 ,3.497.548 
MENDIOLAZA ,"","","",3 36.235 ,495.903 ,"",832.139 ,368.802 ,528.147 ,"",896.950 ,"",332.913 ,457.877 ,"",790.790 ,2.519.878 
RIO CEBALLOS ,"","","",6 61.023 ,974.922 ,"",1.635.945 ,725.048 ,1.038.313 ,"",1.763.360 ,"",654.491 ,900.164 ,"",1.554.655 ,4.953.961 
SALDAN ,"","","",3 99.716 ,589.529 ,"",989.246 ,438.432 ,627.861 ,"",1.066.293 ,"",395.766 ,544.324 ,"",940.090 ,2.995.628 
SALSIPUEDES ,"","","",3 61.160 ,532.664 ,"",893.825 ,396.141 ,567.299 ,"",963.440 ,"",357.591 ,491.819 ,"",849.410 ,2.706.675 
UNQUILLO ,"","","",6 03.300 ,889.788 ,"",1.493.088 ,661.734 ,947.643 ,"",1.609.377 ,"",597.338 ,821.558 ,"",1.418.896 ,4.521.362 
VILLA ALLENDE ,"","","",9 09.113 ,1.340.823 ,"",2.249.936 ,997.167 ,1.428.004 ,"",2.425.171 ,"",900.129 ,1.238.008 ,"",2.138.137 ,6.813.243 
Total COLON ,"",7 ,"",.607.923 ,11.220.693 ,"",18.828.615 ,8.344.802 ,11.950.273 ,"",20.295.076 ,"",7.532.742 ,10.360.278 ,"",17.893.020 ,57.016.711 
CRUZ DEL EJE,"","","","","","","","","","","","","","","","",""
CRUZ DEL EJE ,"","","",1 .027.363 ,1.515.227 ,"",2.542.590 ,1.126.870 ,1.613.748 ,"",2.740.618 ,"",1.017.211 ,1.399.037 ,"",2.416.248 ,7.699.456 
EL BRETE ,"","","",1 55.245 ,228.967 ,"",384.212 ,170.282 ,243.854 ,"",414.137 ,"",153.711 ,211.409 ,"",365.121 ,1.163.470 
SAN MARCOS SIERRAS ,"","","",1 57.423 ,232.178 ,"",389.601 ,172.670 ,247.274 ,"",419.945 ,"",155.867 ,214.374 ,"",370.241 ,1.179.787 
SERREZUELA ,"","","",1 83.061 ,269.991 ,"",453.052 ,200.792 ,287.546 ,"",488.338 ,"",181.252 ,249.288 ,"",430.540 ,1.371.930 
VILLA DE SOTO ,"","","",3 69.572 ,545.070 ,"",914.642 ,405.367 ,580.511 ,"",985.878 ,"",365.920 ,503.273 ,"",869.193 ,2.769.714 
Total CRUZ DEL EJE ,"",1 ,"",.892.664 ,2.791.433 ,"",4.684.097 ,2.075.982 ,2.972.934 ,"",5.048.916 ,"",1.873.961 ,2.577.382 ,"",4.451.343 ,14.184.356 
GENERAL ROCA,"","","","","","","","","","","","","","","","",""
BUCHARDO ,"","","",1 56.384 ,230.646 ,"",387.029 ,171.531 ,245.642 ,"",417.173 ,"",154.838 ,212.959 ,"",367.798 ,1.172.000 
DEL CAMPILLO ,"","","",2 13.185 ,314.419 ,"",527.604 ,233.833 ,334.863 ,"",568.696 ,"",211.078 ,290.309 ,"",501.387 ,1.597.687 
HUINCA RENANCO ,"","","",3 80.240 ,560.804 ,"",941.044 ,417.069 ,597.268 ,"",1.014.337 ,"",376.482 ,517.801 ,"",894.283 ,2.849.664 
ITALO ,"","","",134.633 ,198.566 ,"",333.199 ,147.673 ,211.477 ,"",359.150 ,"",133.303 ,183.340 ,"",316.643 ,1.008.992 
JOVITA ,"","","",2 57.707 ,380.085 ,"",637.792 ,282.668 ,404.798 ,"",687.466 ,"",255.161 ,350.939 ,"",606.100 ,1.931.358 
MATTALDI ,"","","",1 54.540 ,227.927 ,"",382.467 ,169.509 ,242.747 ,"",412.255 ,"",153.013 ,210.449 ,"",363.462 ,1.158.185 
VILLA HUIDOBRO ,"","","",2 82.163 ,416.153 ,"",698.316 ,309.492 ,443.212 ,"",752.705 ,"",279.375 ,384.242 ,"",663.617 ,2.114.638 
VILLA VALERIA ,"","","",1 90.128 ,280.413 ,"",470.541 ,208.543 ,298.646 ,"",507.189 ,"",188.249 ,258.911 ,"",447.160 ,1.424.889 
Total GENERAL ROCA ,"",1 ,"",.768.979 ,2.609.014 ,"",4.377.993 ,1.940.317 ,2.778.654 ,"",4.718.971 ,"",1.751.498 ,2.408.951 ,"",4.160.450 ,13.257.414 
GENERAL SAN MARTIN,"","","","","","","","","","","","","","","","",""
ARROYO ALGODON ,"","","",116.685 ,172.095 ,"",288.780 ,127.987 ,183.285 ,"",311.271 ,"",115.532 ,158.898 ,"",274.430 ,874.481 
ARROYO CABRAL ,"","","",1 85.516 ,273.612 ,"",459.128 ,203.485 ,291.403 ,"",494.887 ,"",183.683 ,252.631 ,"",436.314 ,1.390.329 
AUSONIA ,"","","",126.231 ,186.174 ,"",312.405 ,138.457 ,198.279 ,"",336.737 ,"",124.984 ,171.898 ,"",296.882 ,946.024 
CHAZON ,"","","",1 27.837 ,188.543 ,"",316.381 ,140.219 ,200.803 ,"",341.022 ,"",126.574 ,174.086 ,"",300.660 ,958.063 
ETRURIA ,"","","",2 20.364 ,325.009 ,"",545.373 ,241.708 ,346.141 ,"",587.849 ,"",218.187 ,300.087 ,"",518.273 ,1.651.495 
LA LAGUNA ,"","","",1 38.033 ,203.580 ,"",341.613 ,151.402 ,216.817 ,"",368.219 ,"",136.669 ,187.969 ,"",324.638 ,1.034.470 
LA PALESTINA ,"","","",1 11.866 ,164.987 ,"",276.853 ,122.701 ,175.715 ,"",298.415 ,"",110.760 ,152.336 ,"",263.096 ,838.364 
LA PLAYOSA ,"","","",1 78.473 ,263.224 ,"",441.697 ,195.759 ,280.339 ,"",476.099 ,"",176.709 ,243.040 ,"",419.749 ,1.337.545 
LUCA ,"","","",1 11.526 ,164.486 ,"",276.012 ,122.328 ,175.181 ,"",297.509 ,"",110.424 ,151.873 ,"",262.297 ,835.818 
PASCO ,"","","",1 30.988 ,193.191 ,"",324.179 ,143.675 ,205.752 ,"",349.428 ,"",129.694 ,178.377 ,"",308.071 ,981.677 
SILVIO PELLICO ,"","","",1 06.645 ,157.287 ,"",263.932 ,116.974 ,167.514 ,"",284.488 ,"",105.591 ,145.226 ,"",250.817 ,799.237 
TICINO ,"","","",1 62.130 ,239.120 ,"",401.250 ,177.833 ,254.668 ,"",432.502 ,"",160.528 ,220.784 ,"",381.312 ,1.215.064 
TIO PUJIO ,"","","",179.245 ,264.362 ,"",443.607 ,196.606 ,281.552 ,"",478.157 ,"",177.473 ,244.092 ,"",421.565 ,1.343.329 
VILLA MARIA ,"","","",2 .479.606 ,3.657.095 ,"",6.136.701 ,2.719.773 ,3.894.883 ,"",6.614.655 ,"",2.455.103 ,3.376.664 ,"",5.831.767 ,18.583.123 
VILLA NUEVA ,"","","",6 66.195 ,982.550 ,"",1.648.745 ,730.720 ,1.046.437 ,"",1.777.157 ,"",659.611 ,907.207 ,"",1.566.818 ,4.992.720 
Total GENERAL SAN MARTIN ,"",5 ,"",.041.339 ,7.435.317 ,"",12.476.656 ,5.529.627 ,7.918.768 ,"",13.448.396 ,"",4.991.521 ,6.865.168 ,"",11.856.689 ,37.781.740 
ISCHILIN,"","","","","","","","","","","","","","","","",""
DEAN FUNES ,"","","",7 57.785 ,1.117.634 ,"",1.875.420 ,831.182 ,1.190.304 ,"",2.021.486 ,"",750.297 ,1.031.933 ,"",1.782.230 ,5.679.135 
QUILINO ,"","","",263.167 ,388.138 ,"",651.305 ,288.657 ,413.375 ,"",702.032 ,"",260.567 ,358.375 ,"",618.942 ,1.972.279 
Total ISCHILIN ,"",1 ,"",.020.953 ,1.505.772 ,"",2.526.725 ,1.119.839 ,1.603.679 ,"",2.723.518 ,"",1.010.864 ,1.390.308 ,"",2.401.171 ,7.651.414 
JUAREZ CELMAN,"","","","","","","","","","","","","","","","",""
ALEJANDRO ,"","","",2 59.865 ,383.267 ,"",643.131 ,285.034 ,408.187 ,"",693.221 ,"",257.297 ,353.877 ,"",611.174 ,1.947.527 
BENGOLEA ,"","","",1 23.086 ,181.536 ,"",304.622 ,135.008 ,193.339 ,"",328.347 ,"",121.870 ,167.615 ,"",289.485 ,922.453 
CARNERILLO ,"","","",1 57.312 ,232.014 ,"",389.326 ,172.549 ,247.100 ,"",419.649 ,"",155.757 ,214.223 ,"",369.981 ,1.178.956 
DEPARTAMENTO MUNICIPIOS ,"","",1° ,01 - ENERO2° ,"",TOTAL ENERO,1° ,02 - FEBRERO 2° ,"",TOTAL FEBRERO ,1° ,03- MARZO2° ,"",TOTAL MARZO ,TOTAL GENERA
CHARRAS ,"","",1 27.170 ,187.559 ,"",314.728 ,139.487 ,199.754 ,"",339.241 ,125.913 ,173.176 ,"",299.089 ,953.058 
GENERAL CABRERA ,"","",4 47.515 ,660.026 ,"",1.107.541 ,490.860 ,702.942 ,"",1.193.802 ,443.093 ,609.415 ,"",1.052.507 ,3.353.850 
GENERAL DEHEZA ,"","",4 11.232 ,606.514 ,"",1.017.746 ,451.063 ,645.950 ,"",1.097.012 ,407.168 ,560.005 ,"",967.174 ,3.081.931 
HUANCHILLAS ,"","",1 29.257 ,190.637 ,"",319.894 ,141.776 ,203.033 ,"",344.809 ,127.980 ,176.019 ,"",303.999 ,968.702 
LA CARLOTA ,"","",4 87.850 ,719.515 ,"",1.207.365 ,5 35.102 ,766.299 ,"",1.301.401 ,4 83.029 ,664.342 ,"",1.147.371 ,3.656.137 
LOS CISNES ,"","",1 12.861 ,166.456 ,"",279.317 ,123.793 ,177.279 ,"",301.072 ,111.746 ,153.692 ,"",265.438 ,845.827 
OLAETA ,"","",1 13.610 ,167.560 ,"",281.169 ,124.614 ,178.454 ,"",303.068 ,112.487 ,154.711 ,"",267.198 ,851.435 
REDUCCION ,"","",1 43.939 ,212.291 ,"",356.230 ,157.880 ,226.094 ,"",383.975 ,142.516 ,196.012 ,"",338.529 ,1.078.733 
SANTA EUFEMIA ,"","",1 70.995 ,252.196 ,"",423.191 ,187.558 ,268.594 ,"",456.152 ,169.306 ,232.857 ,"",402.163 ,1.281.506 
UCACHA ,"","",2 57.184 ,379.313 ,"",636.498 ,282.094 ,403.977 ,"",686.071 ,254.643 ,350.228 ,"",604.871 ,1.927.440 
Total JUAREZ CELMAN ,"",2 .941.876 ,"",4.338.883 ,"",7.280.759 ,3.226.817 ,4.621.002 ,"",7.847.819 ,2.912.805 ,4.006.173 ,"",6.918.978 ,22.047.556 
MARCOS JUAREZ,"","","","","","","","","","","","","","",""
ALEJO LEDESMA ,"","",1 97.520 ,291.316 ,"",488.836 ,216.651 ,310.258 ,"",526.908 ,195.568 ,268.977 ,"",464.545 ,1.480.289 
ARIAS ,"","",3 17.811 ,468.729 ,"",786.540 ,348.593 ,499.207 ,"",847.800 ,314.670 ,432.787 ,"",747.457 ,2.381.797 
CAMILO ALDAO ,"","",252.735 ,372.751 ,"",625.487 ,277.214 ,396.988 ,"",674.202 ,250.238 ,344.168 ,"",594.406 ,1.894.095 
CAP. GRAL. B. O'HIGGINS ,"","",108.485 ,160.001 ,"",268.485 ,118.992 ,170.404 ,"",289.396 ,107.413 ,147.732 ,"",255.144 ,813.026 
CAVANAGH ,"","",1 32.964 ,196.104 ,"",329.068 ,145.842 ,208.855 ,"",354.697 ,131.650 ,181.067 ,"",312.716 ,996.481 
COLONIA ITALIANA ,"","",1 18.221 ,174.361 ,"",292.582 ,129.672 ,185.698 ,"",315.370 ,117.053 ,160.991 ,"",278.044 ,885.995 
CORRAL DE BUSTOS ,"","",4 10.387 ,605.267 ,"",1.015.654 ,4 50.136 ,644.622 ,"",1.094.758 ,406.331 ,558.854 ,"",965.186 ,3.075.597 
CRUZ ALTA ,"","",3 11.462 ,459.366 ,"",770.828 ,341.630 ,489.235 ,"",830.864 ,308.384 ,424.141 ,"",732.526 ,2.334.218 
GENERAL BALDISSERA ,"","",1 66.691 ,245.848 ,"",412.539 ,182.836 ,261.833 ,"",444.669 ,165.044 ,226.996 ,"",392.040 ,1.249.247 
GENERAL ROCA ,"","",1 76.306 ,260.029 ,"",436.335 ,193.383 ,276.936 ,"",470.319 ,174.564 ,240.089 ,"",414.653 ,1.321.306 
GUATIMOZIN ,"","",1 73.773 ,256.292 ,"",430.065 ,190.604 ,272.957 ,"",463.560 ,172.056 ,236.639 ,"",408.695 ,1.302.320 
INRIVILLE ,"","",2 16.291 ,319.001 ,"",535.292 ,237.240 ,339.743 ,"",576.983 ,214.154 ,294.540 ,"",508.693 ,1.620.969 
ISLA VERDE ,"","",2 29.965 ,339.169 ,"",569.134 ,252.239 ,361.222 ,"",613.461 ,227.693 ,313.161 ,"",540.854 ,1.723.449 
LEONES ,"","",4 20.581 ,620.302 ,"",1.040.883 ,461.317 ,660.635 ,"",1.121.952 ,416.425 ,572.736 ,"",989.161 ,3.151.995 
LOS SURGENTES ,"","",1 84.242 ,271.734 ,"",455.976 ,202.088 ,289.402 ,"",491.490 ,182.422 ,250.897 ,"",433.318 ,1.380.784 
MARCOS JUAREZ ,"","",9 08.459 ,1.339.858 ,"",2.248.318 ,996.450 ,1.426.977 ,"",2.423.427 ,899.482 ,1.237.117 ,"",2.136.599 ,6.808.344 
MONTE BUEY ,"","",2 90.859 ,428.979 ,"",719.839 ,319.031 ,456.872 ,"",775.903 ,287.985 ,396.085 ,"",684.070 ,2.179.811 
SAIRA ,"","",1 19.320 ,175.981 ,"",295.301 ,130.877 ,187.423 ,"",318.300 ,118.141 ,162.487 ,"",280.627 ,894.228 
Total MARCOS JUAREZ ,"",4 .736.072 ,"",6.985.088 ,"",11.721.160 ,5.194.793 ,7.439.266 ,"",12.634.059 ,4.689.271 ,6.449.464 ,"",11.138.735 ,35.493.954 
MINAS,"","","","","","","","","","","","","","",""
SAN CARLOS MINAS ,"","",1 54.801 ,228.311 ,"",383.111 ,169.794 ,243.156 ,"",412.950 ,153.271 ,210.804 ,"",364.075 ,1.160.136 
Total MINAS ,"","",1 54.801 ,228.311 ,"",383.111 ,169.794 ,243.156 ,"",412.950 ,153.271 ,210.804 ,"",364.075 ,1.160.136 
POCHO,"","","","","","","","","","","","","","",""
SALSACATE ,"","",1 70.942 ,252.117 ,"",423.059 ,187.499 ,268.510 ,"",456.008 ,169.253 ,232.784 ,"",402.037 ,1.281.104 
Total POCHO ,"","",1 70.942 ,252.117 ,"",423.059 ,187.499 ,268.510 ,"",456.008 ,169.253 ,232.784 ,"",402.037 ,1.281.104 
PTE.ROQUE SAENZ PEÑA,"","","","","","","","","","","","","","",""
GENERAL LEVALLE ,"","",2 78.057 ,410.098 ,"",688.155 ,304.989 ,436.763 ,"",741.752 ,275.309 ,378.651 ,"",653.960 ,2.083.867 
LA CESIRA ,"","",1 35.802 ,200.290 ,"",336.091 ,148.955 ,213.313 ,"",362.268 ,134.460 ,184.931 ,"",319.391 ,1.017.750 
LABOULAYE ,"","",7 49.468 ,1.105.368 ,"",1.854.836 ,822.060 ,1.177.240 ,"",1.999.300 ,742.062 ,1.020.607 ,"",1.762.669 ,5.616.806 
MELO ,"","",134.274 ,198.036 ,"",332.309 ,147.279 ,210.912 ,"",358.191 ,132.947 ,182.850 ,"",315.797 ,1.006.298 
ROSALES ,"","",1 12.045 ,165.252 ,"",277.298 ,122.898 ,175.997 ,"",298.895 ,110.938 ,152.581 ,"",263.519 ,839.711 
SERRANO ,"","",1 95.449 ,288.261 ,"",483.710 ,214.379 ,307.004 ,"",521.384 ,193.517 ,266.157 ,"",459.674 ,1.464.768 
VILLA ROSSI ,"","",1 10.962 ,163.654 ,"",274.616 ,121.709 ,174.295 ,"",296.005 ,109.865 ,151.105 ,"",260.971 ,831.592 
Total PTE.ROQUE SAENZ PEÑA ,"",1 ,.716.057 ,2.530.960 ,"",4.247.017 ,1.882.269 ,2.695.525 ,"",4.577.794 ,1.699.099 ,2.336.883 ,"",4.035.982 ,12.860.792 
PUNILLA,"","","","","","","","","","","","","","",""
BIALET MASSE ,"","",256.974 ,379.003 ,"",635.978 ,281.864 ,403.647 ,"",685.510 ,254.435 ,349.942 ,"",604.377 ,1.925.865 
CAPILLA DEL MONTE ,"","",4 00.483 ,590.661 ,"",991.144 ,439.273 ,629.067 ,"",1.068.340 ,396.526 ,545.369 ,"",941.895 ,3.001.379 
COSQUIN ,"","",686.355 ,1.012.283 ,"",1.698.638 ,752.832 ,1.078.102 ,"",1.830.934 ,679.572 ,934.660 ,"",1.614.231 ,5.143.803 
HUERTA GRANDE ,"","",2 73.367 ,403.181 ,"",676.549 ,299.845 ,429.396 ,"",729.241 ,270.666 ,372.265 ,"",642.931 ,2.048.721 
LA CUMBRE ,"","",3 24.108 ,478.017 ,"",802.125 ,355.500 ,509.098 ,"",864.598 ,320.905 ,441.362 ,"",762.267 ,2.428.991 
LA FALDA ,"","",5 41.609 ,798.802 ,"",1.340.411 ,5 94.067 ,850.741 ,"",1.444.808 ,5 36.256 ,737.549 ,"",1.273.805 ,4.059.024 
LOS COCOS ,"","",1 26.414 ,186.445 ,"",312.859 ,138.658 ,198.567 ,"",337.226 ,125.165 ,172.148 ,"",297.313 ,947.397 
SAN ANTONIO DE ARREDONDO ,"","",1 96.903 ,290.407 ,"",487.310 ,215.975 ,309.289 ,"",525.264 ,194.958 ,268.138 ,"",463.096 ,1.475.670 
SAN ESTEBAN ,"","",1 18.880 ,175.332 ,"",294.212 ,130.394 ,186.732 ,"",317.126 ,117.705 ,161.887 ,"",279.592 ,890.930 
SANTA MARIA ,"","",3 43.709 ,506.926 ,"",850.636 ,377.000 ,539.887 ,"",916.887 ,340.313 ,468.055 ,"",808.368 ,2.575.891 
TANTI ,"","",2 69.541 ,397.537 ,"",667.078 ,295.647 ,423.385 ,"",719.033 ,266.877 ,367.053 ,"",633.930 ,2.020.041 
VALLE HERMOSO ,"","",2 73.515 ,403.398 ,"",676.913 ,300.006 ,429.628 ,"",729.634 ,270.812 ,372.465 ,"",643.277 ,2.049.823 
VILLA CARLOS PAZ ,"","",1 .756.198 ,2.590.164 ,"",4.346.362 ,1.926.298 ,2.758.579 ,"",4.684.877 ,1.738.844 ,2.391.547 ,"",4.130.391 ,13.161.630 
VILLA GIARDINO ,"","",2 38.726 ,352.089 ,"",590.815 ,261.848 ,374.983 ,"",636.831 ,236.367 ,325.091 ,"",561.458 ,1.789.104 
VILLA SANTA CRUZ DEL LAGO ,"","",1 58.200 ,233.325 ,"",391.525 ,173.523 ,248.496 ,"",422.019 ,156.637 ,215.433 ,"",372.070 ,1.185.614 
YCHO CRUZ ,"","",1 55.110 ,228.767 ,"",383.877 ,170.134 ,243.642 ,"",413.775 ,153.577 ,211.225 ,"",364.802 ,1.162.455 
Total PUNILLA ,"",6 ,.120.093 ,9.026.337 ,"",15.146.430 ,6.712.865 ,9.613.240 ,"",16.326.104 ,6.059.614 ,8.334.189 ,"",14.393.802 ,45.866.337 
RIO CUARTO,"","","","","","","","","","","","","","",""
ACHIRAS ,"","",1 72.442 ,254.329 ,"",426.771 ,189.144 ,270.866 ,"",460.010 ,170.738 ,234.827 ,"",405.565 ,1.292.346 
ADELIA MARIA ,"","",3 17.944 ,468.926 ,"",786.870 ,348.739 ,499.416 ,"",848.155 ,314.802 ,432.968 ,"",747.770 ,2.382.794 
ALCIRA ,"","",2 74.664 ,405.094 ,"",679.759 ,301.268 ,431.434 ,"",732.701 ,271.950 ,374.031 ,"",645.981 ,2.058.441 
ALPA CORRAL ,"","",1 21.376 ,179.013 ,"",300.389 ,133.132 ,190.653 ,"",323.784 ,120.176 ,165.286 ,"",285.462 ,909.636 
BERROTARAN ,"","",2 99.771 ,442.124 ,"",741.895 ,328.806 ,470.871 ,"",799.678 ,296.809 ,408.221 ,"",705.030 ,2.246.603 
BULNES ,"","",1 27.638 ,188.249 ,"",315.887 ,140.000 ,200.489 ,"",340.490 ,126.376 ,173.814 ,"",300.190 ,956.567 
CHAJAN ,"","",1 17.272 ,172.961 ,"",290.233 ,128.631 ,184.207 ,"",312.838 ,116.113 ,159.698 ,"",275.811 ,878.882 
CORONEL BAIGORRIA ,"","",1 41.560 ,208.782 ,"",350.341 ,155.271 ,222.357 ,"",377.628 ,140.161 ,192.772 ,"",332.933 ,1.060.902 
CORONEL MOLDES ,"","",3 68.405 ,543.350 ,"",911.756 ,404.088 ,578.679 ,"",982.767 ,364.765 ,501.685 ,"",866.450 ,2.760.973 
ELENA ,"","",1 85.755 ,273.965 ,"",459.720 ,203.747 ,291.779 ,"",495.526 ,183.920 ,252.957 ,"",436.877 ,1.392.123 
LA CAUTIVA ,"","",1 20.039 ,177.042 ,"",297.081 ,131.665 ,188.553 ,"",320.219 ,118.853 ,163.466 ,"",282.319 ,899.618 
LAS ACEQUIAS ,"","",1 62.563 ,239.759 ,"",402.322 ,178.308 ,255.349 ,"",433.657 ,160.957 ,221.374 ,"",382.331 ,1.218.310 
LAS HIGUERAS ,"","",2 77.825 ,409.755 ,"",687.580 ,304.734 ,436.398 ,"",741.132 ,275.079 ,378.335 ,"",653.414 ,2.082.126 
DEPARTAMENTO ,MUNICIPIOS ,"",1° ,01 - ENERO 2° ,"",TOTAL ENERO ,1° ,02 - FEBRERO 2° ,"",TOTAL FEBRERO ,1° ,03- MARZO2° ,"",TOTAL MARZO ,TOTAL GENERA
"",LAS VERTIENTES ,"",119.795 ,176.682 ,"",296.477 ,131.398 ,188.170 ,"",319.568 ,118.611 ,163.134 ,"",281.745 ,897.789 
"",MONTE DE LOS GAUCHOS ,"",117.211 ,172.871 ,"",290.083 ,128.564 ,184.112 ,"",312.676 ,116.053 ,159.615 ,"",275.668 ,878.427 
"",RIO CUARTO ,"",4.905.043 ,7.234.298 ,"",12.139.342 ,5.380.131 ,7.704.680 ,"",13.084.810 ,4.856.572 ,6.679.563 ,"",11.536.136 ,36.760.288 
"",SAMPACHO ,"",3 33.420 ,491.750 ,"",825.170 ,365.714 ,523.724 ,"",889.438 ,330.125 ,454.042 ,"",784.167 ,2.498.775 
"",SAN BASILIO ,"",1 94.905 ,287.459 ,"",482.364 ,213.783 ,306.150 ,"",519.932 ,192.979 ,265.416 ,"",458.395 ,1.460.691 
"",SANTA CATALINA ,"",2 10.102 ,309.874 ,"",519.976 ,230.452 ,330.022 ,"",560.474 ,208.026 ,286.112 ,"",494.139 ,1.574.589 
"",TOSQUITA ,"",1 08.731 ,160.364 ,"",269.095 ,119.262 ,170.791 ,"",290.053 ,107.657 ,148.067 ,"",255.724 ,814.872 
"",VICUÑA MACKENNA ,"",4 09.015 ,603.244 ,"",1.012.259 ,448.631 ,642.467 ,"",1.091.098 ,404.973 ,556.987 ,"",961.960 ,3.065.317 
Total RIO CUARTO ,"",9 ,.085.477 ,13.399.892 ,"",22.485.368 ,9.965.468 ,14.271.166 ,"",24.236.634 ,8.995.695 ,12.372.372 ,"",21.368.067 ,68.090.069 
RIO PRIMERO,"","","","","","","","","","","","","","",""
"",LA PARA ,"",2 19.903 ,324.328 ,"",544.232 ,241.202 ,345.417 ,"",586.619 ,217.730 ,299.459 ,"",517.189 ,1.648.039 
"",LA PUERTA ,"",1 70.107 ,250.886 ,"",420.993 ,186.583 ,267.199 ,"",453.782 ,168.426 ,231.647 ,"",400.073 ,1.274.848 
"",MONTE CRISTO ,"",429.145 ,632.933 ,"",1.062.078 ,470.711 ,674.087 ,"",1.144.798 ,424.904 ,584.399 ,"",1.009.304 ,3.216.180 
