DEPARTAMENTO MUNICIPIOS ,"",1° ,04- ABRIL2° ,TOTAL ABRIL , TOTAL GENERAL 
"",BALLESTEROS ,"2 80.996,71 ","445.965,00 ","7 26.961,70 ","7 26.961,70 "
"",BALLESTEROS SUR ,"1 47.706,81 ","234.422,92 ","3 82.129,73 ","3 82.129,73 "
"",BELL VILLE ,"1 .484.152,58 ","2.355.472,82 ","3.839.625,40 ","3.839.625,40 "
"",BENJAMIN GOULD ,"1 53.379,89 ","243.426,57 ","3 96.806,46 ","3 96.806,46 "
"",CANALS ,"4 90.562,47 ","778.563,19 ","1.269.125,66 ","1.269.125,66 "
"",CHILIBROSTE ,"1 47.543,02 ","234.162,96 ","3 81.705,98 ","3 81.705,98 "
"",CINTRA ,"1 78.927,14 ","283.972,16 ","4 62.899,29 ","4 62.899,29 "
"",COLONIA BISMARCK ,"1 40.238,12 ","222.569,49 ","3 62.807,61 ","3 62.807,61 "
"",IDIAZABAL ,"1 89.416,06 ","300.618,95 ","4 90.035,01 ","4 90.035,01 "
"",JUSTINIANO POSSE ,"4 56.606,64 ","724.672,47 ","1.181.279,11 ","1.181.279,11 "
"",LABORDE ,"3 68.494,75 ","584.831,62 ","9 53.326,37 ","9 53.326,37 "
"",MONTE LEÑA ,"1 44.155,39 ","228.786,53 ","3 72.941,92 ","3 72.941,92 "
"",MONTE MAIZ ,"4 29.222,45 ","681.211,51 ","1.110.433,96 ","1.110.433,96 "
"",MORRISON ,"2 58.387,04 ","410.081,58 ","6 68.468,62 ","6 68.468,62 "
"",NOETINGER ,"3 26.111,95 ","517.567,62 ","8 43.679,57 ","8 43.679,57 "
"",ORDOÑEZ ,"2 32.267,28 ","368.627,37 ","6 00.894,65 ","6 00.894,65 "
"",PASCANAS ,"2 38.347,55 ","378.277,27 ","6 16.624,82 ","6 16.624,82 "
"",PUEBLO ITALIANO ,"1 91.006,55 ","303.143,18 ","4 94.149,73 ","4 94.149,73 "
"",SAN ANTONIO DE LITIN ,"1 77.335,12 ","281.445,50 ","4 58.780,62 ","4 58.780,62 "
"",SAN MARCOS SUD ,"2 50.673,42 ","397.839,44 ","6 48.512,86 ","6 48.512,86 "
"",VIAMONTE ,"1 96.762,29 ","312.278,02 ","5 09.040,32 ","5 09.040,32 "
"",WENCESLAO ESCALANTE ,"1 85.171,20 ","293.882,00 ","4 79.053,21 ","4 79.053,21 "
Total UNION ,"","6 .831.536,87 ","10.842.214,65 ","17.673.751,52 ","17.673.751,52 "
Total general ,"","153.078.329,89 ","242.947.971,21 ","396.026.301,10 ","396.026.301,10 "
Importes brutos según Ley Provincial N° 8.663.,"","","","",""
