DEPARTAMENTO MUNICIPIOS ,"",1° ,04- ABRIL2° ,TOTAL ABRIL , TOTAL GENERAL 
MATTALDI ,"","2 02.637,44 ","321.602,37 ","5 24.239,81 ","5 24.239,81 "
VILLA HUIDOBRO ,"","3 69.979,61 ","587.188,22 ","9 57.167,83 ","9 57.167,83 "
VILLA VALERIA ,"","2 49.300,31 ","395.660,19 ","6 44.960,50 ","6 44.960,50 "
Total GENERAL ROCA ,"","2 .319.533,18 ","3.681.290,87 ","6.000.824,05 ","6.000.824,05 "
GENERAL SAN MARTIN,"","","","",""
ARROYO ALGODON ,"","1 53.000,26 ","242.824,06 ","3 95.824,32 ","3 95.824,32 "
ARROYO CABRAL ,"","2 43.253,71 ","386.063,75 ","6 29.317,46 ","6 29.317,46 "
AUSONIA ,"","1 65.517,48 ","262.689,91 ","4 28.207,39 ","4 28.207,39 "
CHAZON ,"","1 67.623,83 ","266.032,88 ","4 33.656,71 ","4 33.656,71 "
ETRURIA ,"","2 88.947,59 ","458.583,72 ","7 47.531,31 ","7 47.531,31 "
LA LAGUNA ,"","1 80.992,16 ","287.249,52 ","4 68.241,69 ","4 68.241,69 "
LA PALESTINA ,"","1 46.681,19 ","232.795,17 ","3 79.476,35 ","3 79.476,35 "
LA PLAYOSA ,"","2 34.018,50 ","371.406,70 ","6 05.425,20 ","6 05.425,20 "
LUCA ,"","1 46.235,73 ","232.088,19 ","3 78.323,92 ","3 78.323,92 "
PASCO ,"","1 71.755,42 ","272.590,04 ","4 44.345,46 ","4 44.345,46 "
SILVIO PELLICO ,"","1 39.835,52 ","221.930,53 ","3 61.766,06 ","3 61.766,06 "
TICINO ,"","2 12.589,06 ","337.396,41 ","5 49.985,47 ","5 49.985,47 "
TIO PUJIO ,"","2 35.030,35 ","373.012,58 ","6 08.042,93 ","6 08.042,93 "
VILLA MARIA ,"","3.251.325,57 ","5.160.122,41 ","8.411.447,97 ","8.411.447,97 "
VILLA NUEVA ,"","8 73.532,31 ","1.386.367,97 ","2.259.900,28 ","2.259.900,28 "
Total GENERAL SAN MARTIN ,"","6 .610.338,68 ","10.491.153,85 ","17.101.492,53 ","17.101.492,53 "
ISCHILIN,"","","","",""
DEAN FUNES ,"","9 93.628,38 ","1.576.970,37 ","2.570.598,75 ","2.570.598,75 "
QUILINO ,"","3 45.072,23 ","547.658,16 ","8 92.730,39 ","8 92.730,39 "
Total ISCHILIN ,"","1 .338.700,62 ","2.124.628,52 ","3.463.329,14 ","3.463.329,14 "
JUAREZ CELMAN,"","","","",""
ALEJANDRO ,"","3 40.741,65 ","540.785,16 ","8 81.526,81 ","8 81.526,81 "
BENGOLEA ,"","1 61.393,55 ","256.144,90 ","4 17.538,44 ","4 17.538,44 "
CARNERILLO ,"","2 06.271,52 ","327.369,95 ","5 33.641,47 ","5 33.641,47 "
CHARRAS ,"","1 66.748,23 ","264.643,22 ","4 31.391,44 ","4 31.391,44 "
GENERAL CABRERA ,"","5 86.793,63 ","931.290,00 ","1.518.083,63 ","1.518.083,63 "
"",LA CARLOTA ,"6 39.682,20 ","1.015.228,52 ","1.654.910,71 ","1.654.910,71 "
"",LOS CISNES ,"1 47.986,95 ","234.867,51 ","3 82.854,46 ","3 82.854,46 "
"",OLAETA ,"1 48.968,18 ","236.424,81 ","3 85.392,99 ","3 85.392,99 "
"",REDUCCION ,"1 88.736,40 ","299.540,26 ","4 88.276,66 ","4 88.276,66 "
"",SANTA EUFEMIA ,"2 24.213,83 ","355.845,88 ","5 80.059,71 ","5 80.059,71 "
"",UCACHA ,"3 37.226,97 ","535.207,07 ","8 72.434,04 ","8 72.434,04 "
Total JUAREZ CELMAN ,"","3 .857.466,77 ","6.122.119,60 ","9.979.586,37 ","9.979.586,37 "
MARCOS JUAREZ,"","","","",""
"",ALEJO LEDESMA ,"2 58.993,23 ","411.043,66 ","6 70.036,89 ","6 70.036,89 "
"",ARIAS ,"4 16.722,08 ","661.372,38 ","1.078.094,46 ","1.078.094,46 "
"",CAMILO ALDAO ,"3 31.393,15 ","525.948,33 ","8 57.341,48 ","8 57.341,48 "
"",CAP. GRAL. B. O'HIGGINS ,"1 42.248,04 ","225.759,39 ","3 68.007,43 ","3 68.007,43 "
"",CAVANAGH ,"1 74.345,50 ","276.700,72 ","4 51.046,23 ","4 51.046,23 "
"",COLONIA ITALIANA ,"1 55.014,77 ","246.021,25 ","4 01.036,03 ","4 01.036,03 "
"",CORRAL DE BUSTOS ,"5 38.110,13 ","854.025,26 ","1.392.135,39 ","1.392.135,39 "
"",CRUZ ALTA ,"4 08.397,68 ","648.160,87 ","1.056.558,55 ","1.056.558,55 "
"",GENERAL BALDISSERA ,"2 18.569,83 ","346.888,39 ","5 65.458,22 ","5 65.458,22 "
"",GENERAL ROCA ,"2 31.177,36 ","366.897,58 ","5 98.074,95 ","5 98.074,95 "
