DEPARTAMENTO ,MUNICIPIOS ,"","",04- ABRIL ,TOTAL ABRIL ,"",05- MAYO ,TOTAL MAYO ,"",06-JUNIO ,TOTAL JUNIO , TOTAL 
"","","",1° ,2° ,"",1° ,2° ,"",1° ,2° ,"",GENERAL 
CALAMUCHITA,"","","","","","","","","","","",""
"",TANTI ,228.539 ,434.648 ,663.187 ,293.242 ,493.053 ,786.295 ,292.277 ,507.415 ,799.692 ,2.249.173
"",VALLE HERMOSO ,2 31.909 ,441.056 ,672.965 ,297.565 ,500.322 ,797.888 ,296.586 ,514.896 ,811.482 ,2.282.334
"",VILLA CARLOS PAZ ,1 .489.052 ,2.831.961 ,4.321.013 ,1.910.625 ,3.212.500 ,5.123.124 ,1.904.338 ,3.306.073 ,5.210.411 ,14.654.548
"",VILLA GIARDINO ,2 02.412 ,384.958 ,587.370 ,259.718 ,436.686 ,696.403 ,258.863 ,449.405 ,708.268 ,1.992.041
"",VILLA SANTA CRUZ DEL LAGO ,1 34.135 ,255.106 ,389.242 ,172.111 ,289.386 ,461.497 ,171.545 ,297.815 ,469.360 ,1.320.098
"",YCHO CRUZ ,1 31.515 ,250.123 ,381.638 ,168.749 ,283.733 ,452.482 ,168.194 ,291.997 ,460.191 ,1.294.311
Total PUNILLA ,"",5 .189.126 ,9.868.964 ,15.058.090 ,6.658.245 ,11.195.088 ,17.853.333 ,6.636.337 ,11.521.179 ,18.157.516 ,51.068.939
RIO CUARTO,"","","","","","","","","","",""
"",ACHIRAS ,1 46.211 ,278.071 ,424.282 ,187.605 ,315.437 ,503.042 ,186.988 ,324.625 ,511.613 ,1.438.937
"",ADELIA MARIA ,2 69.579 ,512.701 ,782.280 ,345.901 ,581.594 ,927.496 ,344.763 ,598.535 ,943.298 ,2.653.074
"",ALCIRA ,2 32.884 ,442.911 ,675.794 ,298.816 ,502.426 ,801.242 ,297.833 ,517.060 ,814.893 ,2.291.930
"",ALPA CORRAL ,1 02.912 ,195.724 ,298.637 ,132.048 ,222.025 ,354.073 ,131.614 ,228.492 ,360.106 ,1.012.815
"",BERROTARAN ,2 54.171 ,483.397 ,737.568 ,326.131 ,548.353 ,874.484 ,325.058 ,564.325 ,889.383 ,2.501.435
"",BULNES ,1 08.222 ,205.822 ,314.044 ,138.861 ,233.480 ,372.341 ,138.404 ,240.280 ,378.685 ,1.065.070
"",CHAJAN ,9 ,9.433 189.107 ,288.540 ,127.584 ,214.518 ,342.102 ,127.164 ,220.767 ,347.931 ,978.573
"",CORONEL BAIGORRIA ,120.026 ,228.272 ,348.298 ,154.007 ,258.946 ,412.953 ,153.500 ,266.488 ,419.989 ,1.181.240
"",CORONEL MOLDES ,3 12.365 ,594.073 ,906.438 ,400.800 ,673.900 ,1.074.701 ,399.481 ,693.529 ,1.093.011 ,3.074.149
"",ELENA ,1 57.499 ,299.540 ,457.039 ,202.089 ,339.790 ,541.880 ,201.424 ,349.688 ,551.112 ,1.550.031
