"","",01 - ENERO ,"",Total 01 - ENERO ,02 - FEBRERO ,"",Total 02 - FEBRERO ,03 - MARZO ,"",Total 03 - MARZO ,Total general
EL CHACHO ,"",4.717 ,12.385 ,17.102 ,7.198 ,12.869 ,20.067 ,6.603 ,11.553 ,18.155 ,55.324
ESTANCIA DE GUADALUPE ,"",5.919 ,15.542 ,21.460 ,9.033 ,16.149 ,25.181 ,8.286 ,14.497 ,22.782 ,69.424
GUASAPAMPA ,"",4.942 ,12.976 ,17.918 ,7.542 ,13.483 ,21.025 ,6.918 ,12.104 ,19.021 ,57.964
LA PLAYA ,"",4.409 ,11.577 ,15.985 ,6.728 ,12.029 ,18.757 ,6.172 ,10.798 ,16.970 ,51.713
TALAINI ,"",3.846 ,10.100 ,13.946 ,5.870 ,10.494 ,16.364 ,5.384 ,9.421 ,14.805 ,45.115
TOSNO ,"",4.373 ,11.484 ,15.857 ,6.674 ,11.932 ,18.606 ,6.122 ,10.711 ,16.833 ,51.296
Total MINAS ,"",35.508 ,93.244 ,128.752 ,54.193 ,96.884 ,151.077 ,49.710 ,86.973 ,136.683 ,416.512
POCHO,"","","","","","","","","","",""
CHANCANI ,"",6.440 ,16.912 ,23.352 ,9.829 ,17.572 ,27.401 ,9.016 ,15.774 ,24.790 ,75.543
LAS PALMAS ,"",4.037 ,10.600 ,14.637 ,6.161 ,11.014 ,17.174 ,5.651 ,9.887 ,15.538 ,47.349
LOS TALARES ,"",3.934 ,10.330 ,14.263 ,6.004 ,10.733 ,16.737 ,5.507 ,9.635 ,15.142 ,46.142
SAN GERONIMO ,"",5.984 ,15.715 ,21.699 ,9.133 ,16.328 ,25.462 ,8.378 ,14.658 ,23.036 ,70.197
TALA CAÑADA ,"",5.918 ,15.541 ,21.459 ,9.032 ,16.148 ,25.180 ,8.285 ,14.496 ,22.781 ,69.421
VILLA DE POCHO ,"",5.279 ,13.862 ,19.141 ,8.056 ,14.403 ,22.460 ,7.390 ,12.930 ,20.320 ,61.920
Total POCHO ,"",31.592 ,82.959 ,114.551 ,48.215 ,86.198 ,134.413 ,44.227 ,77.380 ,121.607 ,370.571
PTE.ROQUE SAENZ PEÑA,"","","","","","","","","","",""
LEGUIZAMON ,"",3.166 ,8.314 ,11.480 ,4.832 ,8.638 ,13.470 ,4.432 ,7.755 ,12.187 ,37.137
RIO BAMBA ,"",3.499 ,9.188 ,12.686 ,5.340 ,9.546 ,14.886 ,4.898 ,8.570 ,13.468 ,41.041
SAN JOAQUIN ,"",3.523 ,9.252 ,12.776 ,5.377 ,9.614 ,14.991 ,4.933 ,8.630 ,13.563 ,41.330
Total PTE.ROQUE SAENZ PEÑA ,"",10.188 ,26.754 ,36.942 ,15.549 ,27.798 ,43.348 ,14.263 ,24.955 ,39.218 ,119.507
PUNILLA,"","","","","","","","","","",""
CABALANGO ,"",5.114 ,13.430 ,18.544 ,7.805 ,13.954 ,21.759 ,7.160 ,12.526 ,19.686 ,59.989
CASA GRANDE ,"",5.981 ,15.706 ,21.686 ,9.128 ,16.319 ,25.447 ,8.373 ,14.650 ,23.022 ,70.155
CHARBONIER ,"",5.582 ,14.657 ,20.239 ,8.519 ,15.229 ,23.748 ,7.814 ,13.671 ,21.485 ,65.472
CUESTA BLANCA ,"",4.459 ,11.708 ,16.167 ,6.805 ,12.165 ,18.970 ,6.242 ,10.921 ,17.163 ,52.299
ESTANCIA VIEJA ,"",6.773 ,17.786 ,24.559 ,10.337 ,18.480 ,28.817 ,9.482 ,16.590 ,26.071 ,79.447
MAYU SUMAJ ,"",9.201 ,24.162 ,33.364 ,14.043 ,25.106 ,39.149 ,12.881 ,22.538 ,35.419 ,107.932
SAN ROQUE ,"",8.688 ,22.815 ,31.504 ,13.260 ,23.706 ,36.966 ,12.163 ,21.281 ,33.444 ,101.914
TALA HUASI ,"",3.461 ,9.089 ,12.550 ,5.282 ,9.443 ,14.726 ,4.845 ,8.477 ,13.323 ,40.598
VILLA PARQUE SIQUIMAN ,"",10.085 ,26.483 ,36.568 ,15.392 ,27.517 ,42.908 ,14.118 ,24.702 ,38.820 ,118.296
YCHO CRUZ ,"",13.522 ,35.509 ,49.031 ,20.638 ,36.895 ,57.533 ,18.930 ,33.121 ,52.052 ,158.616
Total PUNILLA ,"",72.866 ,191.344 ,264.210 ,111.207 ,198.814 ,310.021 ,102.008 ,178.477 ,280.485 ,854.716
RIO CUARTO,"","","","","","","","","","",""
CHUCUL ,"",4.781 ,12.555 ,17.336 ,7.297 ,13.045 ,20.342 ,6.693 ,11.711 ,18.404 ,56.081
"LA CAROLINA ""EL POTOSI"" ","",3.778 ,9.920 ,13.698 ,5.766 ,10.308 ,16.073 ,5.289 ,9.253 ,14.542 ,44.313
LAS ALBAHACAS ,"",5.392 ,14.160 ,19.553 ,8.230 ,14.713 ,22.943 ,7.549 ,13.208 ,20.757 ,63.253
LAS PEÑAS SUD ,"",3.713 ,9.749 ,13.461 ,5.666 ,10.130 ,15.795 ,5.197 ,9.093 ,14.291 ,43.547
MALENA ,"",4.520 ,11.869 ,16.389 ,6.898 ,12.332 ,19.230 ,6.327 ,11.071 ,17.398 ,53.017
SUCO ,"",4.526 ,11.884 ,16.410 ,6.907 ,12.348 ,19.256 ,6.336 ,11.085 ,17.421 ,53.087
VILLA EL CHACAY ,"",3.754 ,9.858 ,13.612 ,5.729 ,10.243 ,15.972 ,5.255 ,9.195 ,14.451 ,44.035
WASHINGTON ,"",5.956 ,15.641 ,21.598 ,9.091 ,16.252 ,25.342 ,8.339 ,14.589 ,22.928 ,69.868
Total RIO CUARTO ,"",36.420 ,95.637 ,132.057 ,55.583 ,99.371 ,154.954 ,50.986 ,89.206 ,140.191 ,427.202
RIO PRIMERO,"","","","","","","","","","",""
