TOTAL BRUTO ,"",MES ,QUINC.,"","","","","","","","",""
"","",04 - ABRIL ,"","",ABRIL ,05 - MAYO ,"",MAYO ,06 - JUNIO ,"",JUNIO ,Total general
DEPARTAMENTO ,M U N I C I P I O ,1ª ,2ª ,"","",1ª 2ª ,"","",1ª 2ª,"","",""
Total ISCHILIN ,"",404.888 ,692.737 ,"",1.097.625 ,570.623 745.425 ,"",1.316.048 ,461.057 916.507 ,"",1.377.564 ,3.791.237
JUAREZ CELMAN,"","","","","","","","","","","",""
"",ALEJANDRO ,102.428 ,175.248 ,"",277.676 ,144.355 188.577 ,"",332.932 ,116.638 231.857 ,"",348.495 ,959.103
"",BENGOLEA ,48.935 ,83.725 ,"",132.660 ,68.966 90.092 ,"",159.058 ,55.724 110.770 ,"",166.493 ,458.211
"",CARNERILLO ,62.339 ,106.658 ,"",168.997 ,87.857 114.770 ,"",202.627 ,70.987 141.111 ,"",212.098 ,583.722
"",CHARRAS ,50.570 ,86.522 ,"",137.092 ,71.270 93.103 ,"",164.373 ,57.586 114.471 ,"",172.056 ,473.522
"",GENERAL CABRERA ,177.885 ,304.350 ,"",482.235 ,250.700 327.498 ,"",578.198 ,202.563 402.662 ,"",605.225 ,1.665.657
"",GENERAL DEHEZA ,163.540 ,279.805 ,"",443.345 ,230.482 301.087 ,"",531.569 ,186.227 370.190 ,"",556.417 ,1.531.331
"",HUANCHILLAS ,51.376 ,87.900 ,"",139.276 ,72.406 94.586 ,"",166.992 ,58.503 116.294 ,"",174.797 ,481.065
"",LA CARLOTA ,193.011 ,330.230 ,"",523.241 ,272.018 355.346 ,"",627.364 ,219.787 436.902 ,"",656.689 ,1.807.294
"",LOS CISNES ,44.859 ,76.751 ,"",121.610 ,63.221 82.589 ,"",145.810 ,51.082 101.543 ,"",152.626 ,420.046
"",OLAETA ,45.169 ,77.281 ,"",122.450 ,63.658 83.159 ,"",146.818 ,51.435 102.245 ,"",153.680 ,422.948
"",REDUCCION ,57.173 ,97.820 ,"",154.993 ,80.576 105.260 ,"",185.836 ,65.105 129.418 ,"",194.523 ,535.352
"",SANTA EUFEMIA ,68.100 ,116.514 ,"",184.614 ,95.975 125.376 ,"",221.351 ,77.547 154.151 ,"",231.698 ,637.664
"",UCACHA ,102.143 ,174.760 ,"",276.903 ,143.954 188.052 ,"",332.006 ,116.313 231.212 ,"",347.525 ,956.433
Total JUAREZ CELMAN ,"",1.167.528 ,1.997.564 ,"",3.165.092 ,1.645.438 2.149.495 ,"",3.794.933 ,1.329.496 2.642.826 ,"",3.972.322 ,10.932.347
MARCOS JUAREZ,"","","","","","","","","","","",""
"",ALEJO LEDESMA ,78.808 ,134.835 ,"",213.643 ,111.067 145.090 ,"",256.157 ,89.741 178.390 ,"",268.131 ,737.931
"",ARIAS ,128.025 ,219.042 ,"",347.067 ,180.430 235.702 ,"",416.132 ,145.785 289.798 ,"",435.583 ,1.198.781
"",CAMILO ALDAO ,100.736 ,172.353 ,"",273.089 ,141.971 185.462 ,"",327.433 ,114.711 228.027 ,"",342.739 ,943.261
"",CAP. GRAL. B. O'HIGGINS ,43.168 ,73.857 ,"",117.025 ,60.838 79.475 ,"",140.312 ,49.156 97.715 ,"",146.871 ,404.209
"",CAVANAGH ,52.960 ,90.611 ,"",143.570 ,74.638 97.502 ,"",172.140 ,60.307 119.880 ,"",180.187 ,495.897
"",COLONIA ITALIANA ,46.611 ,79.748 ,"",126.359 ,65.690 85.813 ,"",151.504 ,53.077 105.508 ,"",158.585 ,436.448
"",CORRAL DE BUSTOS ,163.811 ,280.270 ,"",444.080 ,230.864 301.586 ,"",532.451 ,186.536 370.803 ,"",557.339 ,1.533.871
"",CRUZ ALTA ,124.520 ,213.046 ,"",337.567 ,175.491 229.250 ,"",404.741 ,141.795 281.865 ,"",423.660 ,1.165.968
"",GENERAL BALDISSERA ,65.231 ,111.605 ,"",176.836 ,91.932 120.094 ,"",212.026 ,74.280 147.657 ,"",221.937 ,610.798
"",GENERAL ROCA ,70.383 ,120.421 ,"",190.804 ,99.193 129.580 ,"",228.773 ,80.147 159.319 ,"",239.466 ,659.043
"",GUATIMOZIN ,69.431 ,118.792 ,"",188.223 ,97.851 127.827 ,"",225.678 ,79.063 157.164 ,"",236.227 ,650.128
"",INRIVILLE ,86.365 ,147.766 ,"",234.131 ,121.718 159.004 ,"",280.722 ,98.347 195.497 ,"",293.844 ,808.698
"",ISLA VERDE ,91.884 ,157.208 ,"",249.093 ,129.496 169.165 ,"",298.661 ,104.631 207.990 ,"",312.622 ,860.375
