DEPARTAMENTO MUNICIPIOS 			
SAN ANTONIO DE ARREDONDO	400275	346031	340470
SAN ANTONIO DE LITIN 	274930	237672	233853
SAN BASILIO 	396212	342519	337014
SAN CARLOS MINAS 	314686	272041	267670
SAN ESTEBAN 	241664	208915	205558
SAN FRANCISCO 	4119493	3561236	3504009
SAN FRANCISCO DEL CHAÑAR 	399211	345112	339566
SAN JAVIER Y YACANTO 	290441	251082	247047
SAN JOSE 	329108	284509	279937
SAN JOSE DE LA DORMIDA 	530219	458365	451000
SAN JOSE DE LAS SALINAS 	250996	216982	213495
SAN MARCOS SIERRAS 	320017	276649	272204
SAN MARCOS SUD 	388629	335964	330565
SAN PEDRO 	503480	435250	428256
SAN PEDRO NORTE 	263068	227418	223764
SANTA CATALINA 	427106	369227	363293
SANTA EUFEMIA 	347608	300501	295672
SANTA MARIA 	698709	604023	594316
SANTA ROSA DE CALAMUCHIT 	948644	820087	806909
SANTA ROSA DE RIO PRIMERO 	721542	623761	613738
SANTIAGO TEMPLE 	359811	311051	306052
SARMIENTO 	282443	244168	240244
SEBASTIAN EL CANO 	364247	314885	309825
SEEBER 	239906	207395	204062
SERRANO 	397318	343475	337955
SERREZUELA 	372135	321705	316535
SILVIO PELLICO 	216793	187414	184402
SINSACATE 	281561	243405	239493
TANCACHA 	534806	462331	454902
TANTI 	547935	473681	466069
TICINO 	329585	284921	280343
TIO PUJIO 	364377	314998	309936
TOLEDO 	436704	377523	371457
TOSQUITA 	221034	191080	188009
Total ISCHILIN 	2075442	1794186	1765354
TRANSITO 	386384	334023	328655
UCACHA 	522817	451967	444705
UNQUILLO 	1226417	1060217	1043180
VALLE HERMOSO 	556013	480665	472941
VIAMONTE 	305049	263710	259472
VICUÑA MACKENNA 	831465	718789	707239
VILLA ALLENDE 	1848088	1597643	1571970
VILLA ASCASUBI 	339508	293499	288783
VILLA CARLOS PAZ 	3570085	3086281	3036686
VILLA CONCEPCION DEL TIO 	303387	262273	258059
VILLA CURA BROCHERO 	561579	485476	477674
VILLA DE LAS ROSAS 	435759	376707	370653
VILLA DE MARIA 	533928	461572	454155
VILLA DE SOTO 	751283	649472	639036
VILLA DEL DIQUE 	389279	336526	331118
VILLA DEL ROSARIO 	1125839	973270	957630
VILLA DEL TOTORAL 	758125	655387	644855
VILLA DOLORES 	2079695	1797862	1768972
VILLA FONTANA 	253775	219384	215859
VILLA GIARDINO 	485293	419529	412787
VILLA GRAL. BELGRANO 	665930	575687	566436
VILLA HUIDOBRO 	573594	495863	487895
VILLA MARIA 	5040662	4357570	4287547
VILLA NUEVA 	1354273	1170748	1151934
VILLA PQUE.SANTA ANA 	350204	302746	297881
VILLA ROSSI 	225569	195001	191867
VILLA RUMIPAL 	355418	307253	302316
VILLA SANTA CRUZ DEL LAGO 	321597	278015	273548
VILLA SARMIENTO 	513760	444137	437000
VILLA TULUMBA 	312175	269871	265534
VILLA VALERIA 	386500	334123	328754
VILLA YACANTO 	292091	252508	248450
WENCESLAO ESCALANTE 	287078	248175	244187
YCHO CRUZ 	315315	272585	268205
