DEPARTAMENTO M U N I C I P I O ,"","","",07- JULIO , TOTAL JULIO ,"",08- AGOSTO , TOTAL ,09- SEPTIEMBRE , TOTAL 
"","","",1° ,2° ,"",1° ,2° ,AGOSTO ,1° 2° ,SEPTIEMBRE 
CHAZON ,"","","1 08.146,4 "," 261.090,5 ","3 69.236,8 "," 155.205,8 "," 220.564,1 ","3 75.770,0 "," 124.127,0  240.023,3 ","3 64.150,3"
ETRURIA ,"","","1 86.421,2 "," 450.064,1 ","6 36.485,2 "," 267.541,6 ","380.205,4 ","6 47.747,0 "," 213.968,4  413.748,8 ","6 27.717,2"
LA LAGUNA ,"","","1 16.771,3 "," 281.912,9 ","3 98.684,2 ","167.583,8 ","238.154,6 ","4 05.738,4 "," 134.026,4  259.165,7 ","3 93.192,0"
LA PALESTINA ,"","","9 4.634,7 "," 228.470,3 ","3 23.105,0 "," 135.814,7 "," 193.007,2 ","3 28.821,9 "," 108.618,8 210.035,2 ","3 18.654,0"
LA PLAYOSA ,"","","1 50.982,4 ","364.506,6 ","5 15.489,1 "," 216.681,8 ","307.928,1 ","5 24.609,9 "," 173.292,9  335.094,9 ","5 08.387,8"
LUCA ,"","","9 4.347,3 "," 227.776,4 ","3 22.123,8 ","135.402,2 "," 192.421,1 ","3 27.823,3 "," 108.288,9  209.397,3 ","3 17.686,3"
PASCO ,"","","1 10.812,0 "," 267.525,8 ","3 78.337,8 "," 159.031,3 ","226.000,6 ","3 85.031,9 "," 127.186,5  245.939,4 ","3 73.125,9"
DEPARTAMENTO M U N I C I P I O ,"","","",07- JULIO , TOTAL JULIO ,"",08- AGOSTO , TOTAL ,09- SEPTIEMBRE , TOTAL 
"","","",1° ,2° ,"",1° ,2° ,AGOSTO ,1° 2° ,SEPTIEMBRE 
SILVIO PELLICO ,"","","9 0.218,1 "," 217.807,5 ","3 08.025,6 "," 129.476,1 "," 183.999,5 ","3 13.475,6 "," 103.549,5  200.232,8 ","3 03.782,3"
TICINO ,"","","137.156,7 ","331.128,2 ","4 68.284,9 "," 196.839,9 ","279.730,7 ","4 76.570,6 ","157.424,2  304.409,8 ","4 61.834,0"
TIO PUJIO ,"","","151.635,2 ","366.082,7 ","5 17.717,9 "," 217.618,7 "," 309.259,5 ","5 26.878,2 ","174.042,2 336.543,8 ","5 10.586,0"
VILLA MARIA ,"","2 .097.667,5 ","","5.064.256,6 "," 7.161.924,2 "," 3.010.458,8 ","4.278.185,5 "," 7.288.644,2 "," 2.407.637,0  4.655.626,5 ","7.063.263,5"
VILLA NUEVA ,"","","5 63.579,5 ","1.360.611,7 ","1.924.191,2 "," 808.818,7 "," 1.149.419,3 "," 1.958.238,1 ","646.858,8  1.250.825,3 "," 1.897.684,1"
Total GENERAL SAN MARTIN ,"","4 .264.812,2 ","","10.296.247,1 ","14.561.059,3 ","6.120.627,3 ","8.698.070,2 ","14.818.697,5 ","4.895.017,6 9.465.452,5 ","14.360.470,1"
ISCHILIN,"","","","","","","","","",""
DEAN FUNES ,"","","6 41.062,2 "," 1.547.673,1 "," 2.188.735,3 ","920.017,8 "," 1.307.444,1 ","2.227.461,9 ","735.791,1  1.422.792,8 "," 2.158.583,9"
QUILINO ,"","","2 22.631,3 "," 537.483,7 ","7 60.114,9 "," 319.508,4 "," 454.055,7 ","7 73.564,1 "," 255.529,2  494.114,6 ","7 49.643,8"
Total ISCHILIN ,"",8 ,"63.693,5 ","2.085.156,7 ","2.948.850,3 ","1.239.526,1 ","1.761.499,9 ","3.001.026,0 ","991.320,3 1.916.907,4 ","2.908.227,7"
JUAREZ CELMAN,"","","","","","","","","",""
ALEJANDRO ,"","","2 19.837,3 ","5 30.738,3 ","7 50.575,7 "," 315.498,6 "," 448.357,4 ","7 63.856,0 "," 252.322,4  487.913,6 ","7 40.235,9"
