"","",01 - ENERO ,"",Total 01 - ENERO ,02 - FEBRERO ,"",Total 02 - FEBRERO ,03 - MARZO ,"",Total 03 - MARZO ,Total general
DEP. ,M U N I C I P I O ,1ª ,2ª ,"",1ª ,2ª ,"",1ª ,2ª,"",""
CALAMUCHITA,"","","","","","","","","","",""
MINAS,"","","","","","","","","","",""
"",SAN CARLOS MINAS ,31.390 ,82.430 ,113.820 ,47.908 ,85.648 ,133.556 ,43.945 ,76.887 ,120.832 ,368.208
Total MINAS ,"",31.390 ,82.430 ,113.820 ,47.908 ,85.648 ,133.556 ,43.945 ,76.887 ,120.832 ,368.208
POCHO,"","","","","","","","","","",""
"",SALSACATE ,35.156 ,92.317 ,127.473 ,53.654 ,95.922 ,149.576 ,49.216 ,86.110 ,135.325 ,412.375
Total POCHO ,"",35.156 ,92.317 ,127.473 ,53.654 ,95.922 ,149.576 ,49.216 ,86.110 ,135.325 ,412.375
PTE.ROQUE SAENZ PEÑA,"","","","","","","","","","",""
"",GENERAL LEVALLE ,58.888 ,154.638 ,213.527 ,89.875 ,160.676 ,250.551 ,82.440 ,144.240 ,226.680 ,690.757
"",LA CESIRA ,28.858 ,75.780 ,104.638 ,44.043 ,78.739 ,122.781 ,40.400 ,70.684 ,111.084 ,338.503
"",LABOULAYE ,158.719 ,416.790 ,575.509 ,242.235 ,433.062 ,675.298 ,222.197 ,388.762 ,610.960 ,1.861.766
"",MELO ,28.453 ,74.715 ,103.168 ,43.424 ,77.633 ,121.057 ,39.832 ,69.691 ,109.523 ,333.748
"",ROSALES ,23.762 ,62.398 ,86.160 ,36.265 ,64.834 ,101.099 ,33.265 ,58.202 ,91.467 ,278.725
"",SERRANO ,41.241 ,108.296 ,149.536 ,62.941 ,112.524 ,175.465 ,57.734 ,101.013 ,158.748 ,483.749
"",VILLA ROSSI ,23.309 ,61.208 ,84.517 ,35.574 ,63.598 ,99.171 ,32.631 ,57.092 ,89.723 ,273.411
Total PTE.ROQUE SAENZ PEÑA ,"",363.230 ,953.825 ,1.317.055 ,554.356 ,991.065 ,1.545.421 ,508.499 ,889.684 ,1.398.184 ,4.260.660
PUNILLA,"","","","","","","","","","",""
"",BIALET MASSE ,53.638 ,140.851 ,194.489 ,81.862 ,146.350 ,228.212 ,75.090 ,131.379 ,206.469 ,629.170
"",CAPILLA DEL MONTE ,84.654 ,222.298 ,306.953 ,129.198 ,230.977 ,360.176 ,118.511 ,207.350 ,325.860 ,992.989
"",COSQUIN ,144.886 ,380.464 ,525.351 ,221.123 ,395.319 ,616.442 ,202.832 ,354.880 ,557.711 ,1.699.504
"",HUERTA GRANDE ,57.458 ,150.882 ,208.340 ,87.691 ,156.773 ,244.464 ,80.437 ,140.736 ,221.173 ,673.976
"",LA CUMBRE ,61.559 ,161.652 ,223.211 ,93.951 ,167.963 ,261.914 ,86.179 ,150.782 ,236.961 ,722.086
"",LA FALDA ,113.982 ,299.313 ,413.295 ,173.958 ,310.998 ,484.957 ,159.568 ,279.185 ,438.753 ,1.337.005
"",LOS COCOS ,26.942 ,70.748 ,97.690 ,41.118 ,73.510 ,114.628 ,37.717 ,65.990 ,103.707 ,316.025
"",SAN ANTONIO DE ARREDONDO ,41.578 ,109.181 ,150.759 ,63.455 ,113.444 ,176.899 ,58.206 ,101.839 ,160.045 ,487.704
"",SAN ESTEBAN ,25.129 ,65.987 ,91.115 ,38.351 ,68.563 ,106.914 ,35.179 ,61.549 ,96.728 ,294.757
