COMUNA	2013 ABR	2013 MAY	2013 JUN
PUESTO DE CASTRO 	41546	49258	50097
PUNTA DEL AGUA 	43771	51896	52780
RAFAEL GARCIA 	70319	83373	84793
RANQUELES 	37185	44088	44839
RAYO CORTADO 	88903	105406	107202
RINCON 	75114	89058	90575
RIO BAMBA 	41699	49440	50282
ROSARIO DEL SALADILLO 	58145	68938	70112
SAGRADA FAMILIA 	37949	44994	45761
SALADILLO 	45250	53650	54564
SAN CLEMENTE 	43947	52104	52992
SAN GERONIMO 	73193	86780	88258
SAN IGNACIO 	53335	63236	64313
SAN JOAQUIN 	41849	49618	50463
SAN LORENZO 	108087	128151	130334
SAN ROQUE 	101697	120575	122628
SAN VICENTE 	159498	189106	192327
SANTA ELENA 	56779	67320	68466
SAUCE ARRIBA 	93419	110761	112648
SEGUNDA USINA 	40263	47737	48550
SIMBOLAR 	61376	72769	74009
SUCO 	54013	64039	65131
TALA CAÑADA 	70207	83240	84658
TALA HUASI 	41300	48967	49802
TALAINI 	49792	59035	60041
TINOCO 	64854	76893	78203
TORO PUJIO 	56287	66736	67873
TOSNO 	54344	64431	65529
TUCLAME 	87411	103637	105403
VALLE DE ANISACATE 	58452	69302	70483
VILLA AMANCAY 	66264	78565	79903
VILLA C.PAR. LOS REARTES 	92194	109307	111170
VILLA CANDELARIA NORTE 	81038	96081	97718
VILLA CERRO AZUL 	47220	55985	56939
VILLA CIUDAD DE AMERICA 	89660	106303	108114
VILLA DE POCHO 	63064	74770	76044
VILLA DEL PRADO 	131050	155377	158024
VILLA EL CHACAY 	44836	53159	54065
VILLA ELISA 	33731	39992	40674
VILLA GUTIERREZ 	57096	67695	68848
VILLA LA BOLSA 	93103	110385	112266
VILLA LOS AROMOS 	91198	108127	109970
VILLA LOS PATOS 	33034	39166	39833
VILLA PARQUE SIQUIMAN 	122314	145019	147490
VILLA QUILLINZO 	38611	45778	46558
VILLA SAN ESTEBAN 	37131	44023	44774
VILLA SAN ISIDRO 	112662	133576	135852
VILLA SARMIENTO 	62389	73970	75230
WASHINGTON 	71363	84611	86052
