DEPARTAMENTO 	2012 ENE	2012 FEB	2012 MAR
ESTANCIA DE GUADALUPE 	60586	52376	51534
ESTANCIA VIEJA 	67332	58209	57272
EUFRASIO LOZA 	46433	40141	39496
FALDA DEL CARMEN 	86244	74556	73358
GENERAL FOTHERINGHAM 	48349	41797	41125
GUANACO MUERTO 	67625	58460	57523
GUASAPAMPA 	52516	45400	44670
GUTEMBERG 	74821	64681	63642
IMPIRA 	35999	31121	30621
KILOMETRO 658 	49195	42528	41845
LA BATEA 	40110	34674	34117
"LA CAROLINA ""EL POTOSI"" "	37103	32075	31560
LA CUMBRECITA 	77893	67337	66256
LA HIGUERA 	56358	48721	47938
LA PAISANITA 	33586	29034	28568
LA PAMPA 	71531	61837	60843
LA PLAYA 	48812	42197	41519
LA POBLACION 	56609	48938	48152
LA POSTA 	43509	37613	37009
LA QUINTA 	40569	35071	34507
LA RANCHERITA 	33828	29244	28774
LA RINCONADA 	59430	51376	50551
LA SERRANITA 	50836	43947	43240
LAS ALBAHACAS 	55111	47643	46877
LAS BAJADAS 	37657	32554	32031
LAS CALERAS 	44304	38300	37684
LAS CALLES 	72471	62650	61644
LAS CAÑADAS 	39697	34317	33766
LAS GRAMILLAS 	32661	28235	27781
LAS ISLETILLAS 	42725	36935	36341
LAS PALMAS 	40929	35383	34814
LAS PEÑAS SUD 	36570	31614	31106
LAS PLAYAS 	56253	48630	47849
LAS RABONAS 	71064	61433	60446
LAS SALADAS 	37105	32077	31561
LEGUIZAMON 	31349	27101	26666
LOS CEDROS 	88847	76806	75572
LOS CHAÑARITOS 	41817	36150	35569
LOS CHAÑARITOS (C.D.EJE) 	66660	57627	56701
LOS HORNILLOS 	92758	80188	78900
LOS HOYOS 	44313	38308	37692
LOS MISTOLES 	37274	32223	31705
LOS MOLINOS 	49051	42404	41723
LOS POZOS 	34817	30099	29615
LOS REARTES 	102402	88526	87104
LOS TALARES 	34938	30203	29718
LUTTI 	39319	33991	33444
LUYABA 	117528	101601	99968
MALENA 	44567	38528	37908
MAQUINISTA GALLINI 	35311	30526	30035
MAYU SUMAJ 	90275	78041	76787
MEDIA NARANJA 	91369	78987	77718
MI GRANJA 	96239	83197	81860
NICOLAS BRUZZONE 	41135	35560	34989
OLIVARES DE SAN NICOLAS 	73252	63326	62308
ONAGOITY 	32210	27845	27398
PACHECO DE MELO 	30696	26536	26110
PAMPAYASTA NORTE 	31888	27566	27123
PANAHOLMA 	64086	55402	54511
PASO DEL DURAZNO 	36166	31265	30762
PASO VIEJO 	99971	86423	85035
PINCEN 	47146	40757	40102
PLAZA DE MERCEDES 	32139	27783	27337
PLAZA LUXARDO 	39696	34316	33765
POTRERO DE GARAY 	84065	72673	71505
POZO NUEVO 	67024	57941	57010
PUESTO DE CASTRO 	34326	29674	29197
PUNTA DEL AGUA 	36164	31263	30761
RAFAEL GARCIA 	58099	50226	49418
RANQUELES 	30723	26559	26133
RAYO CORTADO 	73453	63499	62478
RINCON 	62060	53650	52788
RIO BAMBA 	34452	29784	29305
ROSARIO DEL SALADILLO 	48039	41529	40862
SAGRADA FAMILIA 	31354	27105	26670
SALADILLO 	37386	32320	31800
SAN CLEMENTE 	36309	31389	30884
SAN GERONIMO 	60473	52278	51438
SAN IGNACIO 	44066	38095	37483
SAN JOAQUIN 	34577	29891	29411
SAN LORENZO 	89303	77201	75960
SAN ROQUE 	84023	72636	71469
SAN VICENTE 	131779	113921	112091
SANTA ELENA 	46912	40555	39903
SAUCE ARRIBA 	77184	66725	65652
SEGUNDA USINA 	33266	28758	28296
SIMBOLAR 	50709	43838	43133
SUCO 	44626	38579	37959
TALA CAÑADA 	58006	50145	49339
TALA HUASI 	34123	29499	29025
TALAINI 	41139	35564	34993
TINOCO 	53583	46322	45577
TORO PUJIO 	46505	40203	39557
TOSNO 	44900	38815	38191
Total CALAMUCHITA 	696510	602123	592449
Total COLON 	334761	289395	284745
Total CRUZ DEL EJE 	747593	646282	635900
Total GENERAL ROCA 	202760	175283	172466
Total ISCHILIN 	348750	301488	296644
Total JUAREZ CELMAN 	130259	112607	110797
Total MARCOS JUAREZ 	102641	88732	87306
Total MINAS 	369075	319060	313933
Total POCHO 	313561	271068	266712
Total PTE.ROQUE SAENZ PEÑA 	100378	86775	85381
Total PUNILLA 	579663	501111	493058
Total RIO CUARTO 	361157	312215	307197
Total RIO PRIMERO 	747273	646006	635625
Total RIO SECO 	538464	465493	458013
Total RIO SEGUNDO 	170651	147525	145155
Total SAN ALBERTO 	656339	567395	558277
Total SAN JAVIER 	319425	276138	271700
Total SAN JUSTO 	287999	248970	244969
Total SANTA MARIA 	989087	855050	841310
Total SOBREMONTE 	157353	136029	133843
Total TERCERO ARRIBA 	159125	137561	135350
Total TOTORAL 	259087	223976	220377
Total TULUMBA 	136475	117980	116084
TUCLAME 	72220	62433	61432
VALLE DE ANISACATE 	48294	41749	41078
VILLA AMANCAY 	54748	47329	46569
VILLA C.PAR. LOS REARTES 	76172	65849	64791
VILLA CANDELARIA NORTE 	66954	57881	56951
VILLA CERRO AZUL 	39014	33727	33185
VILLA CIUDAD DE AMERICA 	74078	64039	63010
VILLA DE POCHO 	52104	45043	44319
VILLA DEL PRADO 	108276	93602	92098
VILLA EL CHACAY 	37044	32024	31509
VILLA ELISA 	27869	24092	23705
VILLA GUTIERREZ 	47174	40781	40125
VILLA LA BOLSA 	76923	66498	65430
VILLA LOS AROMOS 	75349	65138	64091
VILLA LOS PATOS 	27293	23594	23215
VILLA PARQUE SIQUIMAN 	101058	87363	85959
VILLA QUILLINZO 	31901	27578	27135
VILLA SAN ESTEBAN 	30678	26521	26095
VILLA SAN ISIDRO 	93083	80469	79176
VILLA SARMIENTO 	51546	44561	43845
WASHINGTON 	58961	50971	50152
