"powered_version", "cantidad"
PHP_5.0.0, "1"
PHP_5.2.10-5hardy~ppa2, "15"
PHP_5.0.5, "2"
PHP_5.0.4, "1"
PHP_5.4.38-1+deb.sury.org~lucid+2, "6"
PHP_5.3.20-1~dotdeb.0, "7"
ZAUPA_, "2"
PHP_5.4.31-1~dotdeb.0, "1"
PRIVATE_, "2"
PHP_5.3.6-8ubuntu0ppa5~lucid1, "1"
PHP_5.5.15-pl0-gentoo, "1"
Servlet 2.4; JBoss-4.3.0.GA (build: SVNTag=JBPAPP_4_3_0_GA date=200801031548)_Tomcat-5.5, "1"
PHP_5.4.33-1~dotdeb.1, "3"
PHP_5.4.33-1~dotdeb.0, "1"
PHP_5.3.25-1~dotdeb.0, "5"
PHP_5.2.4-2ubuntu5, "2"
AA2000_, "1"
PHP_5.6.5-1, "3"
PHP_5.5.3-1ubuntu2, "4"
PHP_5.2.9, "266"
PHP_5.2.8, "240"
Servlet_3.0, "45"
Servlet_3.1, "1"
PHP_5.2.3, "32"
PHP_5.2.2, "7"
PHP_5.2.1, "18"
PHP_5.2.0, "87"
PHP_5.2.6, "154"
PHP_5.2.5, "50"
PHP_5.2.4, "16"
PHP_5.4.33-pl0-gentoo, "5"
Phusion Passenger 4.0.40_, "1"
PHP_5.4.8--pl0-gentoo, "1"
PHP_5.6.6-1~dotdeb.1, "1"
PHP_5.4.34-pl0-gentoo, "5"
PHP_5.4.9-4ubuntu2.2, "1"
PHP_4.3.3, "2"
PHP_5.4.34-1+deb.sury.org~precise+1, "4"
PHP_5.4.27-1+deb.sury.org~precise+1, "1"
PHP_4.3.2, "9"
PHP_5.2.6-3ubuntu4.5, "3"
PHP_5.2.8-pl1-gentoo, "6"
PHP_5.2.6-3ubuntu4.6, "9"
1800Flowers web server_, "1"
PHP_4.3.9, "15"
PHP_4.3.8, "2"
PHP_5.4.9-4ubuntu2.1, "1"
Phusion Passenger 4.0.13_, "1"
PHP_5.4.9-4ubuntu2.3, "6"
PHP_4.3.4, "24"
PHP_5.3.3-1ubuntu9.10, "12"
PHP_5.4.9-4ubuntu2.4, "21"
