DEPARTAMENTO 	2012 OCT	2012 NOV	2012 DIC
LUTTI 	43401,4	44403,3	43279,5
LUYABA 	129731,2	132725,9	129366,7
MALENA 	49194,6	50330,2	49056,4
MAQUINISTA GALLINI 	38977,6	39877,3	38868,1
MAYU SUMAJ 	99648	101948,3	99368
MEDIA NARANJA 	100855,8	103183,9	100572,4
MI GRANJA 	106231,8	108684	105933,3
NICOLAS BRUZZONE 	45405,7	46453,9	45279,1
OLIVARES DE SAN NICOLAS 	80858,3	82724,8	80631,1
ONAGOITY 	35554,6	36375,3	35455,7
PACHECO DE MELO 	33883,4	34665,6	33788,2
PAMPAYASTA NORTE 	35198,5	36011,1	35100,6
PANAHOLMA 	70740,5	72373,4	70541,7
PASO DEL DURAZNO 	39920,7	40842,2	39808,5
PASO VIEJO 	110351,1	112898,5	110041
PINCEN 	52041,5	53242,8	51895,3
PLAZA DE MERCEDES 	35475,5	36294,4	35375,8
PLAZA LUXARDO 	43817,6	44829,1	43694,5
POTRERO DE GARAY 	92793,5	94935,5	92532,7
POZO NUEVO 	73983,1	75691	73775,2
PUESTO DE CASTRO 	37889,8	38764,5	37783,4
PUNTA DEL AGUA 	39918,9	40840,4	39806,7
RAFAEL GARCIA 	64131,4	65611,8	63951,2
RANQUELES 	33912,7	34695,5	33817,4
RAYO CORTADO 	81079,5	82951,2	80851,7
RINCON 	68504,3	70085,7	68311,8
RIO BAMBA 	38029,6	38907,5	37922,8
ROSARIO DEL SALADILLO 	53027,4	54251,5	52878,4
SAGRADA FAMILIA 	34610	35408,9	34512,7
SALADILLO 	41268,1	42220,7	41152,1
SAN CLEMENTE 	40079,4	41004,6	39966,8
SAN GERONIMO 	66752,2	68293,1	66564,6
SAN IGNACIO 	48641,9	49764,7	48505,2
SAN JOAQUIN 	38166,7	39047,7	38060,4
SAN LORENZO 	98575,3	100850,8	98298,3
SAN ROQUE 	92747,1	94888,1	92487,5
SAN VICENTE 	145462,3	148820,2	145053,5
SANTA ELENA 	51783	52978,4	51637,5
SAUCE ARRIBA 	85198,4	87165,1	84959
SEGUNDA USINA 	36719,8	37567,4	36616,6
SIMBOLAR 	55974,7	57266,8	55817,4
SUCO 	49259,9	50397	49122,5
TALA CAÑADA 	64028,9	65506,9	63849
TALA HUASI 	37666	38535,4	37562,1
TALAINI 	45410,8	46459,1	45283,2
TINOCO 	59146,9	60512,2	58980,7
TORO PUJIO 	51334	52519	51189,8
TOSNO 	49561,5	50705,6	49422,2
TUCLAME 	79719	81559,2	79495
VALLE DE ANISACATE 	53308	54538,6	53158,2
VILLA AMANCAY 	60433	61828,1	60263,2
VILLA C.PAR. LOS REARTES 	84080,7	86021,6	83845,4
VILLA CANDELARIA NORTE 	73906,4	75612,4	73698,7
VILLA CERRO AZUL 	43064,4	44058,5	42943,4
VILLA CIUDAD DE AMERICA 	81769,6	83657,2	81539,9
VILLA DE POCHO 	57514,2	58841,8	57352,5
VILLA DEL PRADO 	119517,9	122276,9	119182
VILLA EL CHACAY 	40890,5	41834,4	40775,6
VILLA ELISA 	30762,7	31472,8	30676,2
VILLA GUTIERREZ 	52071,7	53273,7	51925,3
VILLA LA BOLSA 	84909,7	86869,8	84672,1
VILLA LOS AROMOS 	83172,6	85092,6	82938,9
VILLA LOS PATOS 	30126,8	30822,3	30042,2
VILLA PARQUE SIQUIMAN 	111550,6	114125,6	111237,1
VILLA QUILLINZO 	35213,2	36026,1	35114,2
VILLA SAN ESTEBAN 	33863,4	34645,1	33768,2
VILLA SAN ISIDRO 	102748,3	105120,1	102459,5
VILLA SARMIENTO 	56898,6	58212,1	56738,7
WASHINGTON 	65083,5	66585,9	64900,6
