"210","Buchardo","-34.724258422852","-63.507320404053",
"211","Bulnes","-33.505329132080","-64.677711486816","http://www.bulnes.gov.ar"
"212","Cabalango","-31.393789291382","-64.560470581055",
"213","Calchín","-31.667619705200","-63.199710845947",
"214","Calchín Oeste","-31.862390518188","-63.277130126953","http://www.calchinoeste.com.ar"
"215","Calmayo","-32.027431488037","-64.464248657227",
"216","Camilo Aldao","-33.128349304199","-62.094718933105","http://www.camiloaldao.gov.ar/"
"217","Caminiaga","-30.069089889526","-64.053039550781",
"218","Canals","-33.563560485840","-62.886081695557","http://www.municipalidadcanals.gov.ar/"
"219","Candelaria Sud","-30.839160919189","-63.801040649414",
"220","Cañada de Luque","-30.734600067139","-63.723621368408",
"221","Cañada de Machado","-31.429540634155","-63.587318420410",
"222","Cañada de Río Pinto","-30.774280548096","-64.217056274414",
"223","Villa Cañada del Sauce","-32.365600585938","-64.642181396484",
"224","Capilla de Los Remedios","-31.429830551147","-63.832790374756",
"225","Capilla de Sitón","-30.572900772095","-63.652381896973",
"226","Capilla del Carmen","-31.508449554443","-63.342529296875",
"227","Capilla del Monte","-30.861560821533","-64.523727416992","http://www.capilladelmonte.gov.ar"
"228","Capitán General Bernardo O'Higgins","-33.248298645020","-62.268619537354",
"229","Carnerillo","-32.913169860840","-64.022819519043",
"230","Carrilobo","-31.871500015259","-63.116111755371",
"231","Casa Grande","-31.164190292358","-64.474807739258","http://www.casagrande.gov.ar/"
"232","Cavanagh","-33.475978851318","-62.339511871338",
"233","Cerro Colorado","-30.097240447998","-63.932441711426",
"234","Chaján","-33.555908203125","-65.003349304199","http://www.chajan.gov.ar"
"235","Chalacea","-30.761749267578","-63.559169769287",
"236","Chancaní","-31.416650772095","-65.451469421387",
"237","Chañar Viejo","-29.998800277710","-63.852111816406",
"238","Charbonier","-30.775690078735","-64.543472290039",
"239","Charras","-33.024131774902","-64.045913696289",
"240","Chazón","-33.078300476074","-63.274890899658",
"241","Chilibroste","-32.332248687744","-62.511260986328",
"242","Chucul","-33.009948730469","-64.168731689453",
"243","Chuña","-30.468090057373","-64.668312072754",
"244","Chuña Huasi","-29.935890197754","-64.114280700684",
"245","Churqui Cañada","-30.173690795898","-63.926689147949",
"246","Ciénaga del Coro","-31.042079925537","-65.282218933105",
"247","Cintra","-32.306278228760","-62.651161193848",
"248","Colazo","-31.964609146118","-63.382701873779",
"249","Colonia Almada","-32.034599304199","-63.864208221436","http://www.colonialmada.gov.ar"
"250","Colonia Anita","-31.110929489136","-62.231109619141",
"251","Colonia Barge","-33.257488250732","-62.606441497803",
"252","Colonia Bismarck","-33.301189422607","-62.713050842285",
"253","Colonia Bremen","-33.464309692383","-62.731498718262",
"254","Colonia Caroya","-31.021310806274","-64.061271667480","http://www.coloniacaroya.gov.ar"
"255","Colonia Italiana","-33.311798095703","-62.176780700684",
"256","Colonia Iturraspe","-31.207729339600","-62.110088348389",
"257","Colonia Las Cuatro Esquinas","-31.207700729370","-63.223308563232",
"258","Colonia Las Pichanas","-31.245750427246","-62.925651550293",
"259","Colonia Marina","-31.248609542847","-62.362689971924",
"260","Colonia Prosperidad","-31.629919052124","-62.366809844971","http://coloniaprosperidad.gov.ar/"
"261","Colonia San Bartolomé","-31.527620315552","-62.723861694336",
