DEPARTAMENTO 	s	d	f
SINSACATE 	276719	295934	287560
TANCACHA 	525610	562108	546201
TANTI 	538513	575907	559609
TICINO 	323918	346411	336608
TIO PUJIO 	358111	382979	372141
TOLEDO 	429194	458998	446008
TOSQUITA 	217233	232317	225743
Total CALAMUCHITA 	4657957	4981406	4840436
Total CAPITAL 	76287997	81585452	79276642
Total COLON 	15199801	16255278	15795266
Total CRUZ DEL EJE 	3781337	4043914	3929474
Total general 	233242520	249438928	242379990
Total GENERAL ROCA 	3534228	3779646	3672684
Total GENERAL SAN MARTIN 	10072046	10771451	10466627
Total ISCHILIN 	2039752	2181393	2119661
Total JUAREZ CELMAN 	5877548	6285686	6107807
Total MARCOS JUAREZ 	9462157	10119211	9832844
Total MINAS 	309275	330751	321391
Total POCHO 	341523	365238	354902
Total PTE.ROQUE SAENZ PEÑA 	3428495	3666570	3562809
Total PUNILLA 	12227279	13076344	12706292
Total RIO CUARTO 	18151793	19412257	18862905
Total RIO PRIMERO 	3907731	4179085	4060820
Total RIO SECO 	882730	944027	917311
Total RIO SEGUNDO 	8977195	9600573	9328884
Total SAN ALBERTO 	2650092	2834115	2753912
Total SAN JAVIER 	4113012	4398621	4274143
Total SAN JUSTO 	17421003	18630722	18103487
Total SANTA MARIA 	6610081	7069085	6869035
Total SOBREMONTE 	392347	419591	407717
Total TERCERO ARRIBA 	8778804	9388406	9122722
Total TOTORAL 	1867389	1997060	1940545
Total TULUMBA 	1861868	1991156	1934808
Total UNION 	10409082	11131890	10816866
TRANSITO 	379740	406109	394616
UCACHA 	513826	549506	533956
UNQUILLO 	1205327	1289026	1252547
VALLE HERMOSO 	546452	584398	567860
VIAMONTE 	299803	320621	311548
VICUÑA MACKENNA 	817167	873912	849181
VILLA ALLENDE 	1816308	1942433	1887464
VILLA ASCASUBI 	333670	356840	346742
VILLA CARLOS PAZ 	3508695	3752338	3646150
VILLA CONCEPCION DEL TIO 	298171	318875	309851
VILLA CURA BROCHERO 	551922	590247	573544
VILLA DE LAS ROSAS 	428266	458005	445044
VILLA DE MARIA 	524747	561185	545304
VILLA DE SOTO 	738364	789636	767290
VILLA DEL DIQUE 	382585	409152	397573
VILLA DEL ROSARIO 	1106479	1183313	1149826
VILLA DEL TOTORAL 	745089	796828	774278
VILLA DOLORES 	2043932	2185863	2124005
VILLA FONTANA 	249411	266730	259182
VILLA GIARDINO 	476948	510068	495633
VILLA GRAL. BELGRANO 	654479	699927	680119
VILLA HUIDOBRO 	563731	602876	585815
VILLA MARIA 	4953982	5297988	5148059
VILLA NUEVA 	1330984	1423408	1383127
VILLA PQUE.SANTA ANA 	344182	368082	357666
VILLA ROSSI 	221690	237084	230375
VILLA RUMIPAL 	349306	373562	362991
VILLA SANTA CRUZ DEL LAGO 	316067	338015	328449
VILLA SARMIENTO 	504926	539988	524707
VILLA TULUMBA 	306807	328112	318827
VILLA VALERIA 	379854	406231	394735
VILLA YACANTO 	287068	307002	298314
WENCESLAO ESCALANTE 	282142	301734	293195
YCHO CRUZ 	309893	331412	322033
