DEPARTAMENTO 	a	s	d
VILLA NUEVA 	2350163,92	2501217,98	2104086,77
VILLA PQUE.SANTA ANA 	607733,7	646795,08	544099,85
VILLA ROSSI 	391445,51	416605,21	350458,5
VILLA RUMIPAL 	616781,91	656424,86	552200,65
VILLA SANTA CRUZ DEL LAGO 	558090,01	593960,59	499654,19
VILLA SARMIENTO 	891564,33	948868,59	798212,48
VILLA TULUMBA 	541739,79	576559,49	485015,95
VILLA VALERIA 	670721,14	713830,97	600492,08
VILLA YACANTO 	506885,42	539464,89	453811,07
WENCESLAO ESCALANTE 	498187,27	530207,68	446023,68
YCHO CRUZ 	547188,49	582358,4	489894,13
