DEPARTAMENTO MUNICIPIOS  	a	s	d
COLONIA ITALIANA 	195324	255441	253318
COLONIA MARINA 	215787	282202	279857
COLONIA PROSPERIDAD 	174389	228062	226166
COLONIA SAN BARTOLOM 	221977	290297	287884
COLONIA TIROLESA 	418439	547226	542678
COLONIA VIGNAUD 	203877	266626	264410
CORDOBA 	63087804	82504840	81819169
CORONEL BAIGORRIA 	233884	305868	303326
CORONEL MOLDES 	608677	796015	789399
CORRAL DE BUSTOS 	678039	886724	879356
CORRALITO 	250607	327738	325014
COSQUIN 	1133991	1483007	1470683
COSTASACATE 	224791	293977	291534
CRUZ ALTA 	514596	672977	667384
CRUZ DEL EJE 	1697403	2219827	2201378
DALMACIO VELEZ 	238438	311824	309232
DEAN FUNES 	1252008	1637349	1623741
DEL CAMPILLO 	352222	460628	456800
DESPEÑADEROS 	484826	634045	628776
DEVOTO 	471155	616166	611045
EL ARAÑADO 	246578	322469	319789
EL BRETE 	256496	335439	332652
EL FORTIN 	228373	298661	296179
EL TIO 	249803	326686	323971
ELENA 	306904	401362	398027
EMBALSE 	583998	763739	757393
ESTACION GENERAL PAZ 	261543	342041	339198
ESTACION JUAREZ CELMA 	735848	962326	954328
ETRURIA 	364085	476142	472185
FREYRE 	499865	653711	648279
GENERAL BALDISSERA 	275406	360170	357177
GENERAL CABRERA 	739382	966947	958911
GENERAL DEHEZA 	679435	888550	881167
GENERAL LEVALLE 	459404	600799	595806
GENERAL ROCA 	291292	380945	377779
GUATIMOZIN 	287106	375471	372351
HERNANDO 	698383	913330	905739
HUANCHILLAS 	213558	279286	276965
HUERTA GRANDE 	451656	590666	585758
HUINCA RENANCO 	628230	821585	814757
IDIAZABAL 	238671	312129	309535
INRIVILLE 	357355	467341	463457
ISLA VERDE 	379947	496887	492757
ITALO 	222440	290902	288485
JAMES CRAIK 	406403	531485	527068
JESUS MARIA 	1654036	2163111	2145135
JOVITA 	425782	556829	552202
JUSTINIANO POSSE 	575341	752418	746165
LA CALERA 	1651051	2159208	2141264
LA CARLOTA 	806023	1054099	1045340
LA CAUTIVA 	198328	259368	257213
LA CESIRA 	224371	293427	290989
LA CRUZ 	239861	313685	311078
LA CUMBRE 	535489	700301	694482
LA FALDA 	894842	1170255	1160531
LA FRANCIA 	356473	466188	462314
LA GRANJA 	298762	390715	387468
LA LAGUNA 	228057	298248	295769
LA PALESTINA 	184824	241708	239700
LA PAQUITA 	202525	264857	262656
LA PARA 	363323	475145	471197
LA PAZ 	321274	420155	416663
LA PLAYOSA 	294872	385627	382422
LA PUERTA 	281050	367551	364496
LA TORDILLA 	221508	289684	287276
LABORDE 	464317	607223	602178
LABOULAYE 	1238267	1619379	1605921
LAGUNA LARGA 	533217	697330	691534
LAS ACEQUIAS 	268586	351250	348331
LAS ARRIAS 	228769	299178	296692
LAS HIGUERAS 	459020	600297	595308
LAS JUNTURAS 	242157	316687	314055
LAS PEÑAS 	246815	322779	320096
LAS PERDICES 	413606	540904	536409
LAS TAPIAS 	254133	332349	329587
LAS VARAS 	223952	292880	290446
LAS VARILLAS 	1009297	1319935	1308967
LAS VERTIENTES 	197924	258841	256690
LASPIUR 	281891	368651	365587
LEONES 	694881	908750	901198
LOS CERRILLOS 	277958	363507	360486
LOS CISNES 	186469	243860	241833
LOS COCOS 	208861	273144	270874
LOS CONDORES 	313416	409878	406472
LOS SURGENTES 	304404	398093	394785
LOS ZORROS 	192300	251486	249396
LOZADA 	213814	279621	277298
LUCA 	184262	240974	238972
LUCIO V. MANSILLA 	208479	272644	270378
LUQUE 	460237	601888	596886
MALAGUEÑO 	808399	1057207	1048422
MALVINAS ARGENTINAS 	771061	1008376	999996
MANFREDI 	203503	266136	263924
MARCOS JUAREZ 	1500952	1962910	1946598
MARULL 	248605	325120	322418
MATORRALES 	207931	271928	269668
MATTALDI 	255331	333916	331141
MELO 	221846	290125	287714
MENDIOLAZA 	555526	726505	720467
MINA CLAVERO 	640426	837535	830575
MIRAMAR 	270293	353483	350545
MONTE BUEY 	480556	628460	623237
MONTE CRISTO 	709031	927255	919549
MONTE DE LOS GAUCHOS 	193656	253259	251154
MONTE LEÑA 	181641	237546	235572
MONTE MAIZ 	540836	707293	701415
MONTE RALO 	184388	241138	239134
MORRISON 	325577	425783	422244
MORTEROS 	1026199	1342040	1330888
NOETINGER 	410913	537383	532918
NONO 	267936	350400	347488
OBISPO TREJO 	296508	387766	384543
OLAETA 	187705	245477	243437
OLIVA 	784499	1025951	1017425
ONCATIVO 	793526	1037756	1029132
ORDOÑEZ 	292665	382741	379561
PAMPAYASTA SUD 	216933	283700	281343
PASCANAS 	300327	392761	389496
PASCO 	216418	283027	280675
PILAR 	841994	1101141	1091991
PIQUILLIN 	231075	302195	299684
PORTEÑA 	443433	579912	575093
POZO DEL MOLLE 	448610	586683	581807
PUEBLO ITALIANO 	240675	314750	312134
QUEBRACHO HERRADO 	174597	228334	226436
QUILINO 	434804	568627	563901
REDUCCION 	237815	311009	308424
RIO CEBALLOS 	1092138	1428274	1416405
RIO CUARTO 	8104083	10598341	10510261
RIO DE LOS SAUCES 	222403	290854	288437
RIO PRIMERO 	557899	729607	723544
RIO SEGUNDO 	1138994	1489551	1477172
RIO TERCERO 	2452980	3207952	3181293
ROSALES 	185121	242097	240085
SACANTA 	311016	406740	403360
SAIRA 	197139	257814	255672
SALDAN 	660409	863668	856491
SALSACATE 	282429	369354	366285
SALSIPUEDES 	596707	780360	773876
SAMPACHO 	550874	720421	714433
SAN AGUSTIN 	337416	441266	437600
SAN ANTONIO DE ARREDO 	325323	425450	421914
SAN ANTONIO DE LITIN 	223449	292221	289793
SAN BASILIO 	322020	421131	417631
SAN CARLOS MINAS 	255761	334478	331699
SAN ESTEBAN 	196412	256864	254729
SAN FRANCISCO 	3348112	4378586	4342198
SAN FRANCISCO DEL CHA 	324458	424320	420793
SAN JAVIER Y YACANTO 	236056	308708	306143
SAN JOSE 	267482	349807	346900
SAN JOSE DE LA DORMIDA 	430934	563567	558883
SAN JOSE DE LAS SALINA 	203996	266782	264565
SAN MARCOS SIERRAS 	260093	340144	337317
SAN MARCOS SUD 	315858	413072	409639
SAN PEDRO 	409202	535146	530698
SAN PEDRO NORTE 	213808	279614	277290
SANTA CATALINA 	347130	453969	450196
SANTA EUFEMIA 	282518	369470	366400
SANTA MARIA 	567875	742654	736482
SANTA ROSA DE CALAMUC	771009	1008308	999929
SANTA ROSA DE RIO PRIM 	586432	766923	760549
SANTIAGO TEMPLE 	292436	382441	379263
SARMIENTO 	229555	300208	297713
SEBASTIAN EL CANO 	296041	387156	383938
SEEBER 	194983	254994	252875
SERRANO 	322919	422307	418797
SERREZUELA 	302452	395540	392253
SILVIO PELLICO 	176198	230428	228513
SINSACATE 	228838	299269	296782
TANCACHA 	434663	568443	563719
TANTI 	445333	582397	577557
TICINO 	267870	350315	347403
TIO PUJIO 	296147	387294	384076
TOLEDO 	354930	464170	460312
TOSQUITA 	179645	234935	232983
TRANSITO 	314033	410685	407272
UCACHA 	424919	555699	551082
UNQUILLO 	996768	1303552	1292718
VALLE HERMOSO 	451899	590984	586072
VIAMONTE 	247928	324234	321540
VICUÑA MACKENNA 	675773	883760	876416
VILLA ALLENDE 	1502032	1964323	1947999
VILLA ASCASUBI 	275935	360861	357862
VILLA CARLOS PAZ 	2901581	3794623	3763087
VILLA CONCEPCION DEL T 	246578	322469	319789
VILLA CURA BROCHERO 	456422	596899	591938
VILLA DE LAS ROSAS 	354163	463166	459317
VILLA DE MARIA 	433949	567509	562793
VILLA DE SOTO 	610604	798535	791898
VILLA DEL DIQUE 	316386	413763	410324
VILLA DEL ROSARIO 	915024	1196648	1186703
VILLA DEL TOTORAL 	616165	805807	799110
VILLA DOLORES 	1690268	2210496	2192125
VILLA FONTANA 	206255	269736	267494
VILLA GIARDINO 	394421	515816	511530
VILLA GRAL. BELGRANO 	541234	707814	701932
VILLA HUIDOBRO 	466188	609670	604603
VILLA MARIA 	4096790	5357691	5313166
VILLA NUEVA 	1100684	1439449	1427487
VILLA PQUE.SANTA ANA 	284628	372230	369136
VILLA ROSSI 	183331	239756	237763
VILLA RUMIPAL 	288865	377772	374632
VILLA SANTA CRUZ DEL LA 	261378	341824	338983
VILLA SARMIENTO 	417558	546073	541535
VILLA TULUMBA 	253720	331809	329052
VILLA VALERIA 	314128	410809	407395
VILLA YACANTO 	237396	310462	307881
WENCESLAO ESCALANTE 	233323	305134	302599
YCHO CRUZ 	256272	335147	332361
