M U N I C I P I O 	TOTAL JULIO 	Total - AGOSTO 	Total - SETIEMBRE 
SANTIAGO TEMPLE 	167737	162467	163501
SARMIENTO 	132239	128084	128899
SEBASTIAN EL CANO 	167428	162168	163200
SEEBER 	111951	108433	109124
SERRANO 	184563	178764	179902
SERREZUELA 	173113	167674	168741
SILVIO PELLICO 	101531	98341	98967
SINSACATE 	132051	127902	128716
TANCACHA 	249460	241622	243160
TANTI 	253363	245402	246964
TICINO 	154111	149268	150219
TIO PUJIO 	167735	162465	163499
TOLEDO 	202527	196163	197412
TOSQUITA 	103256	100012	100648
TRANSITO 	180212	174550	175661
UCACHA 	243694	236037	237540
UNQUILLO 	575726	557636	561186
VALLE HERMOSO 	256048	248003	249582
VIAMONTE 	140861	136435	137304
VICUÑA MACKENNA 	393166	380813	383237
VILLA ALLENDE 	845669	819097	824311
VILLA ASCASUBI 	158406	153429	154406
VILLA CARLOS PAZ 	1683785	1630880	1641262
VILLA CONCEPCION DEL TIO 	141723	137270	138143
VILLA CURA BROCHERO 	254456	246461	248030
VILLA DE LAS ROSAS 	201407	195079	196320
VILLA DE MARIA 	245912	238185	239701
VILLA DE SOTO 	348198	337257	339404
VILLA DEL DIQUE 	178579	172968	174069
VILLA DEL ROSARIO 	522266	505856	509076
VILLA DEL TOTORAL 	356852	345639	347839
VILLA DOLORES 	962793	932541	938478
VILLA FONTANA 	118097	114386	115115
VILLA GIARDINO 	229301	222096	223510
VILLA GRAL. BELGRANO 	308821	299118	301022
VILLA HUIDOBRO 	268768	260323	261980
VILLA MARIA 	2317747	2244921	2259212
VILLA NUEVA 	628508	608759	612635
VILLA PQUE.SANTA ANA 	162895	157777	158782
VILLA ROSSI 	104313	101036	101679
VILLA RUMIPAL 	164299	159136	160149
VILLA SANTA CRUZ DEL LAGO 	152609	147813	148754
VILLA SARMIENTO 	235468	228069	229521
VILLA TULUMBA 	139394	135014	135874
VILLA VALERIA 	181979	176261	177383
VILLA YACANTO 	135287	131037	131871
WENCESLAO ESCALANTE 	134082	129869	130696
			
			
			
			
			
			
			
			
			
			
			
			
			
			
	965988	935636	941592
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
	109891493	106438596	107116178
