COMUNAS 	2011 OCT	2011 NOV	2011 DIC
LAS CALLES 	59902,73	66777,31	64638,92
LAS CAÑADAS 	32812,43	36578,06	35406,74
LAS GRAMILLAS 	26996,87	30095,09	29131,37
LAS ISLETILLAS 	35315,1	39367,94	38107,28
LAS PALMAS 	33831	37713,52	36505,84
LAS PEÑAS SUD 	30227,88	33696,91	32618,85
LAS PLAYAS 	46497,21	51833,34	50173,5
LAS RABONAS 	58739,12	65480,16	63383,31
LAS SALADAS 	30669,95	34189,7	33094,86
LEGUIZAMON 	25912,43	28886,21	27961,19
LOS CEDROS 	73437,86	81865,76	79244,21
LOS CHAÑARITOS 	34564,6	38531,32	37297,45
LOS CHAÑARITOS (C.D.EJE) 	55099,38	61422,71	59455,8
LOS HORNILLOS 	76671,28	85470,26	82733,29
LOS HOYOS 	36627,55	40831,01	39523,5
LOS MISTOLES 	30809,87	34345,68	33245,85
LOS MOLINOS 	40544,36	45197,32	43749,99
LOS POZOS 	28779,02	32081,77	31054,43
LOS REARTES 	84642,27	94356,01	91335,49
LOS TALARES 	28878,66	32192,84	31161,95
LUTTI 	32499,83	36229,59	35069,43
LUYABA 	97145,23	108293,85	104826
MALENA 	36837,87	41065,47	39750,45
MAQUINISTA GALLINI 	29187,16	32536,75	31494,84
MAYU SUMAJ 	74618,36	83181,74	80518,04
MEDIA NARANJA 	75522,74	84189,9	81493,93
MI GRANJA 	79548,4	88677,56	85837,88
NICOLAS BRUZZONE 	34000,67	37902,67	36688,93
OLIVARES DE SAN NICOLAS 	60548,24	67496,9	65335,48
ONAGOITY 	26623,96	29679,39	28728,98
PACHECO DE MELO 	25372,55	28284,37	27378,63
PAMPAYASTA NORTE 	26357,35	29382,18	28441,29
PANAHOLMA 	52971,81	59050,98	57160,01
PASO DEL DURAZNO 	29893,35	33323,99	32256,87
PASO VIEJO 	82633,05	92116,22	89166,42
PINCEN 	38969,68	43441,93	42050,81
PLAZA DE MERCEDES 	26564,75	29613,38	28665,08
PLAZA LUXARDO 	32811,48	36577	35405,71
POTRERO DE GARAY 	69485,52	77459,85	74979,38
POZO NUEVO 	55399,98	61757,82	59780,17
PUESTO DE CASTRO 	28372,63	31628,74	30615,91
PUNTA DEL AGUA 	29892,04	33322,52	32255,45
RAFAEL GARCIA 	48022,83	53534,05	51819,75
RANQUELES 	25394,49	28308,82	27402,3
RAYO CORTADO 	60713,9	67681,57	65514,23
RINCON 	51297,34	57184,35	55353,16
RIO BAMBA 	28477,31	31745,44	30728,87
ROSARIO DEL SALADILLO 	39707,97	44264,95	42847,47
SAGRADA FAMILIA 	25916,6	28890,85	27965,69
SALADILLO 	30902,35	34448,77	33345,64
SAN CLEMENTE 	30012,22	33456,5	32385,13
SAN GERONIMO 	49985,33	55721,77	53937,41
SAN IGNACIO 	36423,95	40604,05	39303,81
SAN JOAQUIN 	28579,95	31859,86	30839,62
SAN LORENZO 	73815,08	82286,27	79651,26
SAN ROQUE 	69451,79	77422,14	74941,91
SAN VICENTE 	108924,97	121425,46	117537,11
SANTA ELENA 	38776,1	43226,14	41841,92
SAUCE ARRIBA 	63798,19	71119,82	68842,38
SEGUNDA USINA 	27496,47	30652,03	29670,47
SIMBOLAR 	41914,93	46725,18	45228,92
SUCO 	36886,78	41119,99	39803,22
TALA CAÑADA 	47946,07	53448,48	51736,92
TALA HUASI 	28205	31441,87	30436,02
TALAINI 	34004,48	37906,91	36693,03
TINOCO 	44290,32	49373,18	47792,13
TORO PUJIO 	38439,89	42851,34	41479,13
TOSNO 	37112,6	41371,73	40046,9
TUCLAME 	59695,11	66545,86	64414,89
VALLE DE ANISACATE 	39918,07	44499,16	43074,18
VILLA AMANCAY 	45253,4	50446,79	48831,35
VILLA C.PAR. LOS REARTES 	62961,21	70186,79	67939,23
VILLA CANDELARIA NORTE 	55342,52	61693,76	59718,17
VILLA CERRO AZUL 	32247,48	35948,27	34797,12
VILLA CIUDAD DE AMERICA 	61230,68	68257,65	66071,87
VILLA DE POCHO 	43067,72	48010,27	46472,86
VILLA DEL PRADO 	89497,3	99768,22	96573,39
VILLA EL CHACAY 	30619,58	34133,55	33040,51
VILLA ELISA 	23035,69	25679,32	24857
VILLA GUTIERREZ 	38992,27	43467,12	42075,19
VILLA LA BOLSA 	63582,02	70878,84	68609,12
VILLA LOS AROMOS 	62281,26	69428,81	67205,52
VILLA LOS PATOS 	22559,55	25148,54	24343,22
VILLA PARQUE SIQUIMAN 	83531,22	93117,46	90135,6
VILLA QUILLINZO 	26368,31	29394,4	28453,12
VILLA SAN ESTEBAN 	25357,57	28267,66	27362,46
VILLA SAN ISIDRO 	76939,87	85769,67	83023,11
VILLA SARMIENTO 	42606,79	47496,45	45975,49
WASHINGTON 	48735,75	54328,78	52589,03
