M U N I C I P I O 	2009 ABR	2009 MAY	2009 JUN
VILLA HUIDOBRO 	243976	262732	278744
VILLA MARIA 	2103949	2265690	2403774
VILLA NUEVA 	570532	614392	651836
VILLA PQUE.SANTA ANA 	147869	159237	168942
VILLA ROSSI 	94691	101971	108185
VILLA RUMIPAL 	149143	160609	170397
VILLA SANTA CRUZ DEL LAGO 	138531	149181	158273
VILLA SARMIENTO 	213747	230179	244208
VILLA TULUMBA 	126536	136263	144568
VILLA VALERIA 	165193	177892	188734
VILLA YACANTO 	122808	132249	140309
WENCESLAO ESCALANTE 	121714	131070	139059
