M U N I C I P I O 	ENERO 	Febrero 	Marzo 
VILLA GIARDINO 	358389	355171	331455
VILLA GRAL. BELGRANO 	482677	478344	472971
VILLA HUIDOBRO 	420076	416303	398780
VILLA MARIA 	3622560	3590030	3641808
VILLA NUEVA 	982337	973515	960398
VILLA PQUE.SANTA ANA 	254600	252314	247204
VILLA ROSSI 	163038	161574	161120
VILLA RUMIPAL 	256793	254487	254065
VILLA SANTA CRUZ DEL LAGO 	238522	236380	217615
VILLA SARMIENTO 	368028	364723	373563
VILLA TULUMBA 	217868	215912	238448
VILLA VALERIA 	284427	281873	265977
VILLA YACANTO 	211450	209551	207978
WENCESLAO ESCALANTE 	209565	207684	200936
YCHO CRUZ 	94585	93735	490670
